player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Jaxson Dart,NYG,Rushing Yards,30.0,-215.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,3.1,-26.9,-0.9599454062571203,,,26.9
Jalen Hurts,PHI,Rushing Yards,50.0,160.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,QB,rush_yards,23.3,-26.7,-0.9265472819872875,,,26.7
Theo Johnson,NYG,Receiving Yards,10.0,-1200.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,36.2,26.200000000000003,0.016560002012753067,,,26.200000000000003
DeVonta Smith,PHI,Receiving Yards,70.0,200.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,44.3,-25.700000000000003,-0.8041094034089378,,,25.700000000000003
Wan'dale Robinson,NYG,Receiving Yards,20.0,-900.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,45.7,25.700000000000003,0.038559038299606635,,,25.700000000000003
Saquon Barkley,PHI,Rushing Yards,60.0,-425.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,RB,rush_yards,35.4,-24.6,-0.9512716850380837,,,24.6
DeVonta Smith,PHI,Receiving Yards,20.0,-1200.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,44.3,24.299999999999997,0.0005201272223732123,,,24.299999999999997
Wan'dale Robinson,NYG,Receiving Yards,70.0,250.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,WR,rec_yards,45.7,-24.299999999999997,-0.7324496417953599,,,24.299999999999997
Theo Johnson,NYG,Receiving Yards,60.0,500.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,36.2,-23.799999999999997,-0.5154600445973732,,,23.799999999999997
Dallas Goedert,PHI,Receiving Yards,20.0,-400.0,,True,Philadelphia Eagles @ New York Giants,Giants,Eagles,1760055300000,Bovada,TE,rec_yards,42.3,22.299999999999997,0.13150028946936057,,,22.299999999999997
