player,team,market,line,over_price,under_price,is_ladder,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Caleb Williams,CHI,Passing Yards,150.0,-990.0,,True,Los Angeles Rams @ Chicago Bears,Bears,Rams,1768779000000,Bovada,QB,pass_yards,288.7,138.7,0.10096933165176346,,,138.7
C.J. Stroud,HOU,Passing Yards,125.0,-1550.0,,True,Houston Texans @ New England Patriots,Patriots,Texans,1768767000000,Bovada,QB,pass_yards,263.5,138.5,0.06447575642129719,,,138.5
Drake Maye,NE,Passing Yards,150.0,-1200.0,,True,Houston Texans @ New England Patriots,Patriots,Texans,1768767000000,Bovada,QB,pass_yards,285.0,135.0,0.0832711932677664,,,135.0
Matthew Stafford,LAR,Passing Yards,175.0,-1600.0,,True,Los Angeles Rams @ Chicago Bears,Bears,Rams,1768779000000,Bovada,QB,pass_yards,290.4,115.39999999999998,0.06198110789901429,,,115.39999999999998
Caleb Williams,CHI,Passing Yards,175.0,-500.0,,True,Los Angeles Rams @ Chicago Bears,Bears,Rams,1768779000000,Bovada,QB,pass_yards,288.7,113.69999999999999,0.19930408349492584,,,113.69999999999999
C.J. Stroud,HOU,Passing Yards,150.0,-660.0,,True,Houston Texans @ New England Patriots,Patriots,Texans,1768767000000,Bovada,QB,pass_yards,263.5,113.5,0.15083381421963504,,,113.5
Colston Loveland,CHI,Receiving Yards,150.0,2400.0,,True,Los Angeles Rams @ Chicago Bears,Bears,Rams,1768779000000,Bovada,TE,rec_yards,37.4,-112.6,-0.9999999995615979,,,112.6
C.J. Stroud,HOU,Passing Yards,375.0,3200.0,,True,Houston Texans @ New England Patriots,Patriots,Texans,1768767000000,Bovada,QB,pass_yards,263.5,-111.5,-0.9761744745714448,,,111.5
D'Andre Swift,CHI,Rushing Yards,150.0,3200.0,,True,Los Angeles Rams @ Chicago Bears,Bears,Rams,1768779000000,Bovada,RB,rush_yards,39.2,-110.8,-0.9999999999999597,,,110.8
Puka Nacua,LAR,Receiving Yards,175.0,800.0,,True,Los Angeles Rams @ Chicago Bears,Bears,Rams,1768779000000,Bovada,WR,rec_yards,64.7,-110.3,-0.9999999996091862,,,110.3
Drake Maye,NE,Passing Yards,175.0,-480.0,,True,Houston Texans @ New England Patriots,Patriots,Texans,1768767000000,Bovada,QB,pass_yards,285.0,110.0,0.20732251735536625,,,110.0
