player,team,line,is_ladder,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
Jacoby Brissett,Arizona Cardinals,,,QB,,,,,,unsupported_market,0.0
Kimani Vidal,Los Angeles Chargers,,,RB,,,,,,unsupported_market,0.0
Quentin Johnston,Los Angeles Chargers,,,WR,,,,,,unsupported_market,0.0
Keenan Allen,Los Angeles Chargers,,,WR,,,,,,unsupported_market,0.0
Ladd McConkey,Los Angeles Chargers,,,WR,,,,,,unsupported_market,0.0
Thomas Yassmin,Los Angeles Chargers,,,TE,,,,,,unsupported_market,0.0
Stevo Klotz,Los Angeles Chargers,,,TE,,,,,,unsupported_market,0.0
Tucker Fisk,Los Angeles Chargers,,,TE,,,,,,unsupported_market,0.0
Oronde Gadsden II,Los Angeles Chargers,,,TE,,,,,,unsupported_market,0.0
Hassan Haskins,Los Angeles Chargers,,,RB,,,,,,unsupported_market,0.0
Justin Herbert,Los Angeles Chargers,,,QB,,,,,,unsupported_market,0.0
Bam Knight,Arizona Cardinals,,,RB,,,,,,unsupported_market,0.0
Jalen Royals,Kansas City Chiefs,,,WR,,,,,,unsupported_market,0.0
Hal Presley,Kansas City Chiefs,,,WR,,,,,,unsupported_market,0.0
Elijhah Badger,Kansas City Chiefs,,,WR,,,,,,unsupported_market,0.0
Marquise Brown,Kansas City Chiefs,,,WR,,,,,,unsupported_market,0.0
Xavier Worthy,Kansas City Chiefs,,,WR,,,,,,unsupported_market,0.0
Rashee Rice,Kansas City Chiefs,,,WR,,,,,,unsupported_market,0.0
Jared Wiley,Kansas City Chiefs,,,TE,,,,,,unsupported_market,0.0
Jake Briningstool,Kansas City Chiefs,,,TE,,,,,,unsupported_market,0.0
Brenden Rice,Los Angeles Chargers,,,WR,,,,,,unsupported_market,0.0
Dalevon Campbell,Los Angeles Chargers,,,WR,,,,,,unsupported_market,0.0
Derius Davis,Los Angeles Chargers,,,WR,,,,,,unsupported_market,0.0
Cam Ward,Tennessee Titans,,,QB,,,,,,unsupported_market,0.0
Gunnar Oakes,Detroit Lions,,,TE,,,,,,unsupported_market,0.0
Brock Wright,Detroit Lions,,,TE,,,,,,unsupported_market,0.0
Sam LaPorta,Detroit Lions,,,TE,,,,,,unsupported_market,0.0
David Montgomery,Detroit Lions,,,RB,,,,,,unsupported_market,0.0
Jahmyr Gibbs,Detroit Lions,,,RB,,,,,,unsupported_market,0.0
Jared Goff,Detroit Lions,,,QB,,,,,,unsupported_market,0.0
Calvin Ridley,Tennessee Titans,,,WR,,,,,,unsupported_market,0.0
Bryce Oliver,Tennessee Titans,,,WR,,,,,,unsupported_market,0.0
Van Jefferson,Tennessee Titans,,,WR,,,,,,unsupported_market,0.0
Chimere Dike,Tennessee Titans,,,WR,,,,,,unsupported_market,0.0
Elic Ayomanor,Tennessee Titans,,,WR,,,,,,unsupported_market,0.0
Drake Dabney,Tennessee Titans,,,TE,,,,,,unsupported_market,0.0
