date,home_team,roof,surface,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,neutral_site
2026-01-03,San Francisco 49ers,open,grass,58.64,12.5516942,100.0,rain,,
2026-01-03,Tampa Bay Buccaneers,open,grass,65.12,14.291533,100.0,rain,,
