player,team,market,line,over_price,under_price,book,event,game_time,home_team,away_team,is_ladder
Josh Oliver,MIN,Anytime TD,,800,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Quentin Johnston,LAC,Anytime TD,,150,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Jordan Mason,MIN,Anytime TD,,110,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Scott Matlock,LAC,Anytime TD,,2800,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Jalen Nailor,MIN,Anytime TD,,440,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Tyler Conklin,LAC,Anytime TD,,1300,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Will Dissly,LAC,Anytime TD,,1300,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Kimani Vidal,LAC,Anytime TD,,130,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
T.J. Hockenson,MIN,Anytime TD,,230,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Oronde Gadsden II,LAC,Anytime TD,,185,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Ladd McConkey,LAC,Anytime TD,,150,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Tre Harris,LAC,Anytime TD,,825,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Derius Davis,LAC,Anytime TD,,825,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Keenan Allen,LAC,Anytime TD,,150,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Zavier Scott,MIN,Anytime TD,,625,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Ben Yurosek,MIN,Anytime TD,,3300,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
KeAndre Lambert-Smith,LAC,Anytime TD,,825,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Justin Jefferson,MIN,Anytime TD,,140,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Minnesota Defense,,Anytime TD,,725,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Nyheim Hines,LAC,Anytime TD,,825,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Tucker Fisk,LAC,Anytime TD,,1300,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Myles Price,MIN,Anytime TD,,2500,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Los Angeles Chargers Defense,,Anytime TD,,625,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Jordan Addison,MIN,Anytime TD,,185,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Tai Felton,MIN,Anytime TD,,2500,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Justin Herbert,LAC,Anytime TD,,600,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
C.J. Ham,MIN,Anytime TD,,3300,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Carson Wentz,MIN,Anytime TD,,1100,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Adam Thielen,MIN,Anytime TD,,1200,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Jordan Mason & Minnesota Vikings,,Anytime TD,,300,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Jordan Mason & Los Angeles Chargers,,Anytime TD,,250,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Kimani Vidal & Minnesota Vikings,,Anytime TD,,350,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Kimani Vidal & Los Angeles Chargers,,Anytime TD,,225,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Justin Jefferson & Minnesota Vikings,,Anytime TD,,350,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Justin Jefferson & Los Angeles Chargers,,Anytime TD,,325,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Quentin Johnston & Minnesota Vikings,,Anytime TD,,575,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Quentin Johnston & Los Angeles Chargers,,Anytime TD,,250,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Keenan Allen & Minnesota Vikings,,Anytime TD,,575,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Keenan Allen & Los Angeles Chargers,,Anytime TD,,250,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Ladd McConkey & Minnesota Vikings,,Anytime TD,,550,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Ladd McConkey & Los Angeles Chargers,,Anytime TD,,250,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Oronde Gadsden & Minnesota Vikings,,Anytime TD,,450,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Oronde Gadsden & Los Angeles Chargers,,Anytime TD,,290,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Jordan Addison & Minnesota Vikings,,Anytime TD,,450,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Jordan Addison & Los Angeles Chargers,,Anytime TD,,300,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
T.J. Hockenson & Minnesota Vikings,,Anytime TD,,525,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
T.J. Hockenson & Los Angeles Chargers,,Anytime TD,,475,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Jalen Nailor & Minnesota Vikings,,Anytime TD,,875,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Jalen Nailor & Los Angeles Chargers,,Anytime TD,,800,,Bovada,Minnesota Vikings @ Los Angeles Chargers,1761264900000,Chargers,Vikings,False
Thomas Fidone II,NYG,Anytime TD,,2000,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
New York Giants Defense,,Anytime TD,,1000,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
PHI Eagles D/ST,,Anytime TD,,600,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Chris Manhertz,NYG,Anytime TD,,2000,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Tyrone Tracy Jr.,NYG,Anytime TD,,625,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Devin Singletary,NYG,Anytime TD,,625,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Jalen Hurts,PHI,Anytime TD,,-139,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Kylen Granson,PHI,Anytime TD,,2000,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Beaux Collins,NYG,Anytime TD,,900,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
John Metchie III,PHI,Anytime TD,,2000,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Jahan Dotson,PHI,Anytime TD,,500,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Xavier Gipson,PHI,Anytime TD,,2000,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
DeVonta Smith,PHI,Anytime TD,,200,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Daniel Bellinger,NYG,Anytime TD,,600,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Tank Bigsby,PHI,Anytime TD,,700,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Wan'dale Robinson,NYG,Anytime TD,,320,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Jaxson Dart,NYG,Anytime TD,,220,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Cam Skattebo,NYG,Anytime TD,,-122,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Dallas Goedert,PHI,Anytime TD,,185,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Will Shipley,PHI,Anytime TD,,700,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
A.J. Brown,PHI,Anytime TD,,170,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Theo Johnson,NYG,Anytime TD,,320,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Cameron Latu,PHI,Anytime TD,,2000,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Gunner Olszewski,NYG,Anytime TD,,2200,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
E.J. Jenkins,PHI,Anytime TD,,2000,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Jalin Hyatt,NYG,Anytime TD,,825,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Saquon Barkley,PHI,Anytime TD,,-152,,Bovada,New York Giants @ Philadelphia Eagles,1761498000000,Eagles,Giants,False
Pat Freiermuth,PIT,Anytime TD,,320,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Josh Jacobs,GB,Anytime TD,,-190,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Aaron Rodgers,PIT,Anytime TD,,2800,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Emanuel Wilson,GB,Anytime TD,,400,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Jaylen Warren,PIT,Anytime TD,,150,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Dontayvion Wicks,GB,Anytime TD,,440,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Malik Heath,GB,Anytime TD,,2000,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Calvin Austin III,PIT,Anytime TD,,330,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
John FitzPatrick,GB,Anytime TD,,1200,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Luke Musgrave,GB,Anytime TD,,900,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Chris Brooks,GB,Anytime TD,,400,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Ben Sims,GB,Anytime TD,,1200,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Roman Wilson,PIT,Anytime TD,,600,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Jordan Love,GB,Anytime TD,,900,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Green Bay Packers Defense,,Anytime TD,,525,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Kenneth Gainwell,PIT,Anytime TD,,350,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Savion Williams,GB,Anytime TD,,2000,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Kaleb Johnson,PIT,Anytime TD,,1200,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Connor Heyward,PIT,Anytime TD,,800,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Darnell Washington,PIT,Anytime TD,,330,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Tucker Kraft,GB,Anytime TD,,150,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Ben Skowronek,PIT,Anytime TD,,1200,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Jonnu Smith,PIT,Anytime TD,,275,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Scotty Miller,PIT,Anytime TD,,800,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Matthew Golden,GB,Anytime TD,,185,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Pittsburgh D/ST,,Anytime TD,,700,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
DK Metcalf,PIT,Anytime TD,,140,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Ke'Shawn Williams,PIT,Anytime TD,,1200,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
Romeo Doubs,GB,Anytime TD,,180,,Bovada,Green Bay Packers @ Pittsburgh Steelers,1761524400000,Steelers,Packers,False
