date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-10-26,Atlanta Falcons,55.5,10.7,35.0,rain,Overcast,retractable,artificial,
2025-10-26,Baltimore Ravens,59.1,4.3,0.0,none,Partly Cloudy,open,grass,
2025-10-26,Carolina Panthers,61.7,3.3,0.0,none,Overcast,open,grass,
2025-10-26,Cincinnati Bengals,56.7,8.3,0.0,none,Mostly Cloudy,open,artificial,
2025-10-26,Houston Texans,76.4,7.5,0.0,none,Partly Cloudy,retractable,artificial,
2025-10-26,New England Patriots,53.2,7.8,0.0,none,Partly Cloudy,open,artificial,
2025-10-26,Philadelphia Eagles,58.3,5.0,0.0,none,Partly Cloudy,open,grass,
2025-10-26,New Orleans Saints,75.8,8.3,100.0,rain,Partly Cloudy,fixed,artificial,
2025-10-26,Denver Broncos,67.0,5.6,0.0,none,Overcast,open,grass,
2025-10-26,Indianapolis Colts,58.0,10.3,0.0,none,Overcast,retractable,artificial,
2025-10-26,Pittsburgh Steelers,55.1,5.0,0.0,none,Clear,open,grass,
