date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-11-02,Cincinnati Bengals,47.4,2.8,0.0,none,Overcast,open,artificial,
2025-11-02,Detroit Lions,51.5,9.7,0.0,none,Clear,fixed,artificial,
2025-11-02,Green Bay Packers,48.8,19.1,0.0,none,Mostly Cloudy,open,grass,
2025-11-02,Houston Texans,69.5,6.0,0.0,none,Clear,retractable,artificial,
2025-11-02,New England Patriots,53.3,7.2,0.0,none,Clear,open,artificial,
2025-11-02,New York Giants,58.5,4.8,0.0,none,Clear,open,artificial,
2025-11-02,Pittsburgh Steelers,55.9,5.7,0.0,none,Overcast,open,grass,
2025-11-02,Tennessee Titans,48.1,6.1,0.0,none,Mostly Cloudy,open,grass,
2025-11-02,Los Angeles Rams,64.1,7.2,0.0,none,Clear,fixed,artificial,
2025-11-02,Las Vegas Raiders,78.9,3.9,0.0,none,Mostly Clear,fixed,grass,
2025-11-02,Buffalo Bills,50.8,5.5,0.0,none,Mostly Clear,open,grass,
2025-11-02,Washington Commanders,61.6,5.3,0.0,none,Partly Cloudy,open,grass,
