date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-09-28,Pittsburgh Steelers,81.9,3.8,0.0,none,Clear,open,grass,
2025-09-28,Atlanta Falcons,86.3,9.8,0.0,none,Mostly Clear,retractable,artificial,
2025-09-28,Buffalo Bills,76.2,7.0,0.0,none,Clear,open,grass,
2025-09-28,Detroit Lions,82.7,2.4,0.0,none,Clear,fixed,artificial,
2025-09-28,Houston Texans,90.6,5.9,0.0,none,Overcast,retractable,artificial,
2025-09-28,New England Patriots,80.4,5.9,0.0,none,Mostly Clear,open,artificial,
2025-09-28,New York Giants,82.0,3.0,0.0,none,Clear,open,artificial,
2025-09-28,Tampa Bay Buccaneers,84.8,17.4,100.0,rain,Overcast,open,grass,
2025-09-28,Los Angeles Rams,73.1,7.9,0.0,none,Clear,fixed,artificial,
2025-09-28,San Francisco 49ers,77.3,8.7,0.0,none,Partly Cloudy,open,grass,
2025-09-28,Kansas City Chiefs,87.5,4.7,0.0,none,Clear,open,grass,
2025-09-28,Las Vegas Raiders,83.4,8.2,0.0,none,Clear,fixed,grass,
2025-09-28,Dallas Cowboys,88.9,4.5,0.0,none,Overcast,retractable,artificial,
