player,team,event,market,line,over_price,under_price,game_time,home_team,away_team,is_ladder,proj,edge
Josh Allen,BUF,Miami Dolphins @ Buffalo Bills,Passing Yards,150.0,-1500.0,,1758240900000,Bills,Dolphins,True,210.8,60.80000000000001
Josh Allen,BUF,Miami Dolphins @ Buffalo Bills,Passing Yards,175.0,-625.0,,1758240900000,Bills,Dolphins,True,210.8,35.80000000000001
Josh Allen,BUF,Miami Dolphins @ Buffalo Bills,Passing Yards,200.0,-300.0,,1758240900000,Bills,Dolphins,True,210.8,10.800000000000011
Josh Allen,BUF,Miami Dolphins @ Buffalo Bills,Passing Yards,225.0,-150.0,,1758240900000,Bills,Dolphins,True,210.8,-14.199999999999989
Josh Allen,BUF,Miami Dolphins @ Buffalo Bills,Passing Yards,250.0,125.0,,1758240900000,Bills,Dolphins,True,210.8,-39.19999999999999
Josh Allen,BUF,Miami Dolphins @ Buffalo Bills,Passing Yards,275.0,210.0,,1758240900000,Bills,Dolphins,True,210.8,-64.19999999999999
Josh Allen,BUF,Miami Dolphins @ Buffalo Bills,Passing Yards,300.0,400.0,,1758240900000,Bills,Dolphins,True,210.8,-89.19999999999999
Josh Allen,BUF,Miami Dolphins @ Buffalo Bills,Passing Yards,325.0,675.0,,1758240900000,Bills,Dolphins,True,210.8,-114.19999999999999
Josh Allen,BUF,Miami Dolphins @ Buffalo Bills,Passing Yards,350.0,1100.0,,1758240900000,Bills,Dolphins,True,210.8,-139.2
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,150.0,-1500.0,,1758240900000,Bills,Dolphins,True,294.5,144.5
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,175.0,-600.0,,1758240900000,Bills,Dolphins,True,294.5,119.5
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,200.0,-325.0,,1758240900000,Bills,Dolphins,True,294.5,94.5
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,225.0,-175.0,,1758240900000,Bills,Dolphins,True,294.5,69.5
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,250.0,110.0,,1758240900000,Bills,Dolphins,True,294.5,44.5
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,275.0,175.0,,1758240900000,Bills,Dolphins,True,294.5,19.5
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,300.0,325.0,,1758240900000,Bills,Dolphins,True,294.5,-5.5
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,325.0,575.0,,1758240900000,Bills,Dolphins,True,294.5,-30.5
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,350.0,900.0,,1758240900000,Bills,Dolphins,True,294.5,-55.5
Tua Tagovailoa,MIA,Miami Dolphins @ Buffalo Bills,Passing Yards,375.0,1400.0,,1758240900000,Bills,Dolphins,True,294.5,-80.5
Dalton Kincaid,BUF,Miami Dolphins @ Buffalo Bills,Receiving Yards,10.0,-775.0,,1758240900000,Bills,Dolphins,True,25.3,15.3
Dalton Kincaid,BUF,Miami Dolphins @ Buffalo Bills,Receiving Yards,15.0,-425.0,,1758240900000,Bills,Dolphins,True,25.3,10.3
Dalton Kincaid,BUF,Miami Dolphins @ Buffalo Bills,Receiving Yards,20.0,-275.0,,1758240900000,Bills,Dolphins,True,25.3,5.300000000000001
Dalton Kincaid,BUF,Miami Dolphins @ Buffalo Bills,Receiving Yards,25.0,-180.0,,1758240900000,Bills,Dolphins,True,25.3,0.3000000000000007
Dalton Kincaid,BUF,Miami Dolphins @ Buffalo Bills,Receiving Yards,30.0,-120.0,,1758240900000,Bills,Dolphins,True,25.3,-4.699999999999999
Dalton Kincaid,BUF,Miami Dolphins @ Buffalo Bills,Receiving Yards,40.0,150.0,,1758240900000,Bills,Dolphins,True,25.3,-14.7
Dalton Kincaid,BUF,Miami Dolphins @ Buffalo Bills,Receiving Yards,50.0,275.0,,1758240900000,Bills,Dolphins,True,25.3,-24.7
Dalton Kincaid,BUF,Miami Dolphins @ Buffalo Bills,Receiving Yards,60.0,450.0,,1758240900000,Bills,Dolphins,True,25.3,-34.7
Dalton Kincaid,BUF,Miami Dolphins @ Buffalo Bills,Receiving Yards,70.0,725.0,,1758240900000,Bills,Dolphins,True,25.3,-44.7
