season,week,date,game_id,team,player,position,player_id_x,is_active,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int,is_active_pid,is_active_nm,_name_norm,_name_norm_loose,_alias_init_last,team_norm,player_id_y,pass_attempts_act,pass_yards_act,pass_tds_act,interceptions_act,rush_attempts_act,rush_yards_act,rush_tds_act,targets_act,receptions_act,rec_yards_act,rec_tds_act,player_act,team_act,match_strategy,pass_attempts_err,pass_yards_err,pass_tds_err,interceptions_err,rush_attempts_err,rush_yards_err,rush_tds_err,targets_err,receptions_err,rec_yards_err,rec_tds_err
2025,8,0.0,2025_08_MIA_ATL,Atlanta Falcons,Darnell Mooney,WR,00-0036309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,4.67,43.0,0.51,0.4019,70.87,46.81,21.26,295.2,87.3,3.2409562493544586,0.6714605402031819,1.1702441198472149,1.0,1.0,darnell mooney,darnellmooney,dmooney,Atlanta Falcons,00-0036309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,11.0,0.0,D.Mooney,ATL,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1799999999999997,3.67,32.0,0.51
2025,8,0.0,2025_08_MIA_ATL,Atlanta Falcons,David Sills V,WR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,3.6,51.6,0.38,0.3144,70.87,46.81,21.26,295.2,87.3,3.2409562493544586,0.6714605402031819,1.1702441198472149,0.0,0.0,david sills v,davidsillsv,dsills,Atlanta Falcons,00-0035359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,14.0,0.0,D.Sills,ATL,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.6,37.6,0.38
2025,8,0.0,2025_08_MIA_ATL,Atlanta Falcons,Casey Washington,WR,00-0039394,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.87,46.81,21.26,295.2,87.3,3.2409562493544586,0.6714605402031819,1.1702441198472149,1.0,1.0,casey washington,caseywashington,cwashington,Atlanta Falcons,00-0038930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,0.0,C.Washington,ATL,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-25.0,0.0
2025,8,0.0,2025_08_MIA_ATL,Atlanta Falcons,Dylan Drummond,WR,00-0038953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.87,46.81,21.26,295.2,87.3,3.2409562493544586,0.6714605402031819,1.1702441198472149,1.0,1.0,dylan drummond,dylandrummond,ddrummond,Atlanta Falcons,00-0038953,,,,,,,,,,,,,,,,,,,,,,,,,
2025,8,0.0,2025_08_MIA_ATL,Atlanta Falcons,KhaDarel Hodge,WR,00-0034854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.87,46.81,21.26,295.2,87.3,3.2409562493544586,0.6714605402031819,1.1702441198472149,1.0,1.0,khadarel hodge,khadarelhodge,khodge,Atlanta Falcons,00-0034854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,31.0,0.0,K.Hodge,ATL,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-3.0,-31.0,0.0
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Tua Tagovailoa,QB,00-0036212,1.0,35.52,200.5,1.97,0.69,1.91,5.5,0.05,0.0,0.0,0.0,0.0,0.0488,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,tua tagovailoa,tuatagovailoa,ttagovailoa,Miami Dolphins,00-0036212,30.0,205.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T.Tagovailoa,MIA,team_norm & _alias_init_last,5.520000000000003,-4.5,-2.0300000000000002,0.69,1.91,5.5,0.05,0.0,0.0,0.0,0.0
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,De'Von Achane,RB,00-0039040,1.0,0.0,0.0,0.0,0.0,11.57,35.2,0.38,3.51,2.32,10.7,0.21,0.4469,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,de'von achane,devonachane,dachane,Miami Dolphins,00-0039040,0.0,0.0,0.0,0.0,19.0,67.0,0.0,7.0,5.0,24.0,1.0,D.Achane,MIA,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,-7.43,-31.799999999999997,0.38,-3.49,-2.68,-13.3,-0.79
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Ollie Gordon II,RB,00-0040198,1.0,0.0,0.0,0.0,0.0,6.43,20.7,0.14,2.18,1.4,8.8,0.13,0.2395,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,ollie gordon ii,olliegordonii,ogordon,Miami Dolphins,00-0040198,0.0,0.0,0.0,0.0,10.0,46.0,0.0,1.0,1.0,20.0,1.0,O.Gordon,MIA,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,-3.5700000000000003,-25.3,0.14,1.1800000000000002,0.3999999999999999,-11.2,-0.87
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Jaylen Wright,RB,00-0039874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,1.0,1.0,jaylen wright,jaylenwright,jwright,Miami Dolphins,00-0039874,0.0,0.0,0.0,0.0,9.0,28.0,0.0,1.0,1.0,0.0,0.0,J.Wright,MIA,team_norm & _alias_init_last,0.0,0.0,0.0,0.0,-9.0,-28.0,0.0,-1.0,-1.0,0.0,0.0
2025,8,0.0,2025_08_MIA_ATL,Miami Dolphins,Julian Hill,TE,00-0038720,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,3.41,27.0,0.33,0.2827,55.0,32.62,19.91,183.0,72.8,1.9312586352985173,0.5429900165224204,0.8154402322024472,0.0,0.0,julian hill,julianhill,jhill,Miami Dolphins,00-0038720,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,J.Hill,BAL,_alias_init_last,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,5.67,3.41,27.0,0.33
