date,home_team,roof,surface,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,neutral_site
2025-12-20,Chicago Bears,open,grass,30.74,15.4721379,0.0,none,,
2025-12-20,Washington Commanders,open,grass,34.52,14.0429846,0.0,none,,
