date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-12-07,Atlanta Falcons,38.660000000000004,5.0331051,0.0,none,,retractable,artificial,
2025-12-07,Baltimore Ravens,34.7,5.716613199999999,0.0,none,,open,grass,
2025-12-07,Cleveland Browns,33.08,14.6643556,100.0,rain,,open,grass,
2025-12-07,Green Bay Packers,14.720000000000002,9.134153699999999,100.0,snow,,open,grass,
2025-12-07,Jacksonville Jaguars,56.84,7.5807262,100.0,rain,,open,grass,
2025-12-07,Minnesota Vikings,6.259999999999998,8.202097199999999,100.0,snow,,fixed,artificial,
2025-12-07,New York Jets,34.52,7.4564520000000005,0.0,none,,open,artificial,
2025-12-07,Tampa Bay Buccaneers,68.36,11.246815100000001,100.0,rain,,open,grass,
2025-12-07,Las Vegas Raiders,52.34,2.2990727,0.0,none,,fixed,grass,
2025-12-07,Arizona Cardinals,55.58,2.9825808,0.0,none,,retractable,grass,
2025-12-07,Buffalo Bills,30.38,12.4895571,100.0,snow,,open,grass,
2025-12-07,Kansas City Chiefs,34.52,11.992460300000001,100.0,rain,,open,grass,
