date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-10-12,New York Jets,56.5,14.9,100.0,rain,Overcast,open,artificial,
2025-10-12,Baltimore Ravens,61.0,16.5,0.0,none,Overcast,open,grass,
2025-10-12,Carolina Panthers,59.9,13.7,100.0,rain,Overcast,open,grass,
2025-10-12,Indianapolis Colts,71.5,5.1,0.0,none,Clear,retractable,artificial,
2025-10-12,Jacksonville Jaguars,82.8,11.2,0.0,none,Clear,open,grass,
2025-10-12,Miami Dolphins,80.7,5.5,100.0,rain,Mostly Cloudy,open,grass,
2025-10-12,New Orleans Saints,81.2,4.8,0.0,none,Clear,fixed,artificial,
2025-10-12,Pittsburgh Steelers,65.6,9.0,0.0,none,Mostly Cloudy,open,grass,
2025-10-12,Las Vegas Raiders,75.2,1.9,0.0,none,Clear,fixed,grass,
2025-10-12,Green Bay Packers,61.3,17.0,0.0,none,Overcast,open,grass,
2025-10-12,Tampa Bay Buccaneers,77.5,13.0,0.0,none,Clear,open,grass,
2025-10-12,Kansas City Chiefs,86.3,15.1,0.0,none,Partly Cloudy,open,grass,
