date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-12-14,Chicago Bears,15.1,8.2,0.0,none,Clear,open,grass,
2025-12-14,Cincinnati Bengals,14.6,7.6,0.0,none,Overcast,open,artificial,
2025-12-14,Houston Texans,63.6,14.0,0.0,none,Mostly Cloudy,retractable,artificial,
2025-12-14,Jacksonville Jaguars,65.9,12.4,0.0,none,Partly Cloudy,open,grass,
2025-12-14,Kansas City Chiefs,23.7,4.0,0.0,none,Clear,open,grass,
2025-12-14,New England Patriots,26.6,9.3,0.0,none,Partly Cloudy,open,artificial,
2025-12-14,New York Giants,23.5,13.0,0.0,none,Mostly Cloudy,open,artificial,
2025-12-14,Philadelphia Eagles,21.3,12.3,0.0,none,Mostly Cloudy,open,grass,
2025-12-14,Denver Broncos,53.0,2.1,0.0,none,Partly Cloudy,open,grass,
2025-12-14,Los Angeles Rams,67.3,5.2,0.0,none,Mostly Clear,fixed,artificial,
2025-12-14,New Orleans Saints,55.9,16.8,0.0,none,Clear,fixed,artificial,
2025-12-14,Seattle Seahawks,51.7,5.6,0.0,none,Overcast,open,artificial,
2025-12-14,San Francisco 49ers,63.4,1.7,0.0,none,Mostly Cloudy,open,grass,
2025-12-14,Dallas Cowboys,47.9,8.8,0.0,none,Clear,retractable,artificial,
