player,team,market,line,over_price,under_price,book,event,game_time,home_team,away_team,is_ladder
Teagan Quitoriano,ATL,Anytime TD,,2000.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Mike Evans,TB,Anytime TD,,175.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Jalen McMillan,TB,Anytime TD,,380.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Devin Culp,TB,Anytime TD,,1100.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Feleipe Franks,ATL,Anytime TD,,2200.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Tyler Allgeier,ATL,Anytime TD,,170.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Bucky Irving,TB,Anytime TD,,125.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Jamal Agnew,ATL,Anytime TD,,2800.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
David Sills,ATL,Anytime TD,,500.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Kyle Pitts,ATL,Anytime TD,,250.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Tez Johnson,TB,Anytime TD,,800.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Bijan Robinson,ATL,Anytime TD,,-157.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Nathan Carter,ATL,Anytime TD,,4000.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Deven Thompkins,ATL,Anytime TD,,2200.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Kirk Cousins,ATL,Anytime TD,,1600.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
Chris Godwin,TB,Anytime TD,,235.0,,Bovada,Atlanta Falcons @ Tampa Bay Buccaneers,1765502100000,Buccaneers,Falcons,False
