date,home_team,_home_team_key,roof,surface,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,neutral_site,wx_gust_mph,wx_dew_point_f
2026-01-17,DENVER BRONCOS,Denver Broncos,open,grass,27.5,7.5185891,100.0,snow,,,21.6858479,0.6799999999999997
2026-01-17,SEATTLE SEAHAWKS,Seattle Seahawks,open,artificial,41.9,8.512782699999999,0.0,none,,,17.2119767,35.96
