season,week,game_id,team,player,position,player_id,pass_attempts,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,any_td_prob,team_plays,team_pass_attempts,team_rush_attempts,team_pass_yards,team_rush_yards,team_exp_pass_tds,team_exp_rush_tds,team_exp_int
2025,11,2025_11_BAL_CLE,Cleveland Browns,Blake Whiteheart,TE,00-0038710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,1.6755327153762267,0.653324427480916,0.8236800000000001
2025,11,2025_11_BAL_CLE,Cleveland Browns,Brenden Bates,TE,00-0039458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,1.6755327153762267,0.653324427480916,0.8236800000000001
2025,11,2025_11_BAL_CLE,Cleveland Browns,Caden Prieskorn,TE,00-0040392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,1.6755327153762267,0.653324427480916,0.8236800000000001
2025,11,2025_11_BAL_CLE,Cleveland Browns,Jerry Jeudy,WR,00-0036407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,4.47,39.3,0.36,0.3048,64.0,32.95,28.8,217.5,123.8,1.6755327153762267,0.653324427480916,0.8236800000000001
2025,11,2025_11_BAL_CLE,Cleveland Browns,Cedric Tillman,WR,00-0038979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,3.05,31.6,0.29,0.2483,64.0,32.95,28.8,217.5,123.8,1.6755327153762267,0.653324427480916,0.8236800000000001
2025,11,2025_11_BAL_CLE,Cleveland Browns,Isaiah Bond,WR,00-0040782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,1.89,25.7,0.19,0.1734,64.0,32.95,28.8,217.5,123.8,1.6755327153762267,0.653324427480916,0.8236800000000001
2025,11,2025_11_BAL_CLE,Cleveland Browns,Cade McDonald,WR,00-0040615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,1.6755327153762267,0.653324427480916,0.8236800000000001
2025,11,2025_11_BAL_CLE,Cleveland Browns,Chase Cota,WR,00-0038651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,1.6755327153762267,0.653324427480916,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Michael Penix Jr.,QB,00-0039917,33.56,204.7,1.99,0.73,2.53,9.3,0.08,0.0,0.0,0.0,0.0,0.0744,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Bijan Robinson,RB,00-0038542,0.0,0.0,0.0,0.0,16.89,62.4,0.65,5.0,3.55,21.2,0.3,0.6127,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Tyler Allgeier,RB,00-0037263,0.0,0.0,0.0,0.0,9.38,34.6,0.24,3.11,2.36,13.9,0.18,0.3438,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Charlie Woerner,TE,00-0036429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,2.34,25.1,0.21,0.1932,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Feleipe Franks,TE,00-0036825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Joshua Simon,TE,00-0040552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Drake London,WR,00-0037238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.87,5.4,45.7,0.51,0.4011,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Darnell Mooney,WR,00-0036309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68,3.65,34.5,0.36,0.3033,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Casey Washington,WR,00-0039394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Atlanta Falcons,Chris Blair,WR,00-0036463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.3639585605234457,0.9217557251908396,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Bryce Young,QB,00-0039150,33.75,201.4,1.39,0.73,5.02,17.8,0.14,0.0,0.0,0.0,0.0,0.1278,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Rico Dowdle,RB,00-0036139,0.0,0.0,0.0,0.0,15.29,57.0,0.49,4.18,3.03,19.5,0.26,0.5276,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Chuba Hubbard,RB,00-0036555,0.0,0.0,0.0,0.0,8.49,31.8,0.18,2.6,1.89,11.2,0.16,0.2865,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Ja'Tavion Sanders,TE,00-0039356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,3.96,31.6,0.35,0.2932,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Tommy Tremble,TE,00-0037005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,1.93,14.4,0.17,0.1595,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Bryce Pierre,TE,00-0040292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Dominique Dafney,TE,00-0036456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Tetairoa McMillan,WR,00-0040124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,4.36,47.1,0.45,0.36,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Xavier Legette,WR,00-0039342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74,3.15,31.8,0.35,0.2941,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Jalen Coker,WR,00-0039491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,2.42,23.1,0.22,0.2001,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Ainias Smith,WR,00-0039747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Brycen Tremayne,WR,00-0038840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CAR_ATL,Carolina Panthers,Dan Chisena,WR,00-0035976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.004225736095965,0.7814885496183206,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,Caleb Williams,QB,00-0039918,35.24,210.0,1.62,0.73,7.1,23.7,0.23,0.0,0.0,0.0,0.0,0.2092,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,D'Andre Swift,RB,00-0036275,0.0,0.0,0.0,0.0,13.95,52.4,0.54,4.16,2.91,17.6,0.29,0.5627,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,Kyle Monangai,RB,00-0040236,0.0,0.0,0.0,0.0,7.75,30.7,0.2,2.59,1.63,13.5,0.18,0.3139,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,Cole Kmet,TE,00-0036290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,4.38,29.8,0.42,0.3406,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,Colston Loveland,TE,00-0040126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,2.11,19.1,0.22,0.1994,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,Durham Smythe,TE,00-0034798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,Rome Odunze,WR,00-0039919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,3.88,43.1,0.51,0.3968,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,DJ Moore,WR,00-0034827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,3.42,28.5,0.36,0.3017,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,Olamide Zaccheaus,WR,00-0035208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.3,19.4,0.25,0.2193,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,Devin Duvernay,WR,00-0036331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Chicago Bears,JP Richardson,WR,00-0040275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.338263358778626,0.911736641221374,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,J.J. McCarthy,QB,00-0039923,33.56,204.7,2.22,0.73,1.08,3.9,0.03,0.0,0.0,0.0,0.0,0.0299,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Jordan Mason,RB,00-0037525,0.0,0.0,0.0,0.0,11.96,44.6,0.28,2.9,2.16,15.3,0.2,0.3817,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,T.J. Hockenson,TE,00-0035229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,4.65,32.8,0.45,0.365,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Josh Oliver,TE,00-0035249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.37,17.7,0.25,0.2226,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Ben Sims,TE,00-0038809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Ben Yurosek,TE,00-0040509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Bryson Nesbit,TE,00-0040504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Justin Jefferson,WR,00-0036322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63,5.47,46.2,0.58,0.4409,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Jordan Addison,WR,00-0038994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,3.77,34.3,0.44,0.3541,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Jalen Nailor,WR,00-0037291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,2.54,24.6,0.3,0.2562,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Adam Thielen,WR,00-0030035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CHI_MIN,Minnesota Vikings,Dontae Fleming,WR,00-0040498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.6466057797164666,1.0319656488549618,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Joe Flacco,QB,00-0026158,36.35,226.4,1.82,0.73,2.34,8.1,0.08,0.0,0.0,0.0,0.0,0.0743,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Chase Brown,RB,00-0038597,0.0,0.0,0.0,0.0,17.01,63.7,0.64,3.99,2.91,18.1,0.28,0.6013,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Samaje Perine,RB,00-0033526,0.0,0.0,0.0,0.0,9.45,36.0,0.22,2.48,1.86,10.6,0.17,0.3237,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Noah Fant,TE,00-0035644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05,4.19,29.4,0.36,0.3053,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Drew Sample,TE,00-0035631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,2.21,16.8,0.2,0.1793,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Cam Grandy,TE,00-0039631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Erick All,TE,00-0039814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Ja'Marr Chase,WR,00-0036900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68,5.11,38.9,0.51,0.4007,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Tee Higgins,WR,00-0036410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78,3.47,29.1,0.39,0.3208,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Andrei Iosivas,WR,00-0038619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,2.14,20.7,0.26,0.2298,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Charlie Jones,WR,00-0038576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Cincinnati Bengals,Cole Burgess,WR,00-0039626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.2611777535441657,0.8816793893129771,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Aaron Rodgers,QB,00-0023459,34.27,204.4,2.0,0.73,2.35,8.4,0.08,0.0,0.0,0.0,0.0,0.0797,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Jaylen Warren,RB,00-0037228,0.0,0.0,0.0,0.0,17.0,63.9,0.78,4.16,3.23,19.6,0.35,0.6739,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Kenneth Gainwell,RB,00-0036919,0.0,0.0,0.0,0.0,9.45,35.5,0.3,2.59,1.92,11.9,0.22,0.4046,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Jonnu Smith,TE,00-0033858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,4.45,31.1,0.5,0.3908,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Pat Freiermuth,TE,00-0036894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,2.16,14.8,0.26,0.228,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Connor Heyward,TE,00-0037304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Darnell Washington,TE,00-0038558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Donald Parham,TE,00-0035329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,DK Metcalf,WR,00-0035640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,4.14,39.1,0.6,0.4503,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Calvin Austin III,WR,00-0037837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,3.13,31.4,0.42,0.3425,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Roman Wilson,WR,00-0039739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,2.4,28.9,0.3,0.2556,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_CIN_PIT,Pittsburgh Steelers,Ben Skowronek,WR,00-0036862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.95,28.8,217.5,123.8,2.8264721919302067,1.1020992366412212,0.8236800000000001
2025,11,2025_11_DAL_LV,Dallas Cowboys,Dak Prescott,QB,00-0033077,35.58,220.5,2.08,0.73,2.89,9.3,0.12,0.0,0.0,0.0,0.0,0.1129,64.0,32.95,28.8,217.5,123.8,2.7750817884405667,1.08206106870229,0.8236800000000001
