date,home_team,wx_temp_f,wx_wind_mph,wx_precip_pct,wx_precip_type,wx_sky,roof,surface,neutral_site
2025-10-19,Jacksonville Jaguars,86.6,4.1,0.0,none,Overcast,open,grass,
2025-10-19,Chicago Bears,60.9,14.9,0.0,none,Partly Cloudy,open,grass,
2025-10-19,Cleveland Browns,58.1,20.5,100.0,rain,Overcast,open,grass,
2025-10-19,Kansas City Chiefs,66.2,9.8,0.0,none,Clear,open,grass,
2025-10-19,Minnesota Vikings,59.0,12.5,0.0,none,Clear,fixed,artificial,
2025-10-19,New York Jets,68.5,15.8,0.0,none,Overcast,open,artificial,
2025-10-19,Tennessee Titans,65.2,11.2,20.0,rain,Partly Cloudy,open,grass,
2025-10-19,Denver Broncos,75.8,3.0,0.0,none,Overcast,open,grass,
2025-10-19,Los Angeles Chargers,72.6,9.4,0.0,none,Mostly Cloudy,fixed,artificial,
2025-10-19,Arizona Cardinals,86.0,3.7,0.0,none,Clear,retractable,grass,
2025-10-19,Dallas Cowboys,77.6,4.0,0.0,none,Clear,retractable,artificial,
2025-10-19,San Francisco 49ers,76.9,8.4,0.0,none,Mostly Clear,open,grass,
