event,game_time,home_team,away_team,market_key,market_name,period,team_side,line,price_home,price_away,over_price,under_price,is_alternate
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,moneyline,Moneyline,G,,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,moneyline,Moneyline,G,,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,moneyline,Moneyline,G,,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,moneyline,Moneyline,G,,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,moneyline,Moneyline,G,,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,42.5,,,-430.0,290.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,43.5,,,-360.0,250.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,44.5,,,-310.0,225.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,45.5,,,-275.0,200.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,46.5,,,-250.0,185.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,47.5,,,-215.0,160.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,48.5,,,-190.0,145.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,49.5,,,-170.0,130.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,50.5,,,-150.0,115.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,51.0,,,-135.0,105.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,51.5,,,-125.0,-105.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,52.0,,,-120.0,-110.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,52.5,,,-115.0,-115.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,53.5,,,-105.0,-125.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,54.0,,,105.0,-135.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,54.5,,,110.0,-145.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,55.5,,,125.0,-165.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,56.5,,,140.0,-185.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,57.5,,,155.0,-210.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,58.5,,,180.0,-245.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,59.5,,,200.0,-275.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,60.5,,,225.0,-310.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,61.5,,,260.0,-370.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,62.5,,,285.0,-420.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points - Detroit Lions,G,,28.5,,,-130.0,,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points - Tampa Bay Buccaneers,G,,23.5,,,-115.0,-115.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,23.0,,,-200.0,150.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,23.5,,,-185.0,140.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,24.0,,,-165.0,125.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,24.5,,,-135.0,105.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,25.5,,,-135.0,105.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,26.0,,,-130.0,,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,27.0,,,,-130.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points,G,,27.5,,,115.0,-150.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points - Detroit Lions,G,,14.5,,,-110.0,-120.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points - Tampa Bay Buccaneers,G,,10.5,,,,-130.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points - Detroit Lions,G,,6.5,,,-150.0,115.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,alt_total,Total Points - Tampa Bay Buccaneers,G,,3.5,,,115.0,-150.0,True
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 47.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 47.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 47.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 47.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 53.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 53.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 53.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 53.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 59.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 59.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 59.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 59.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 47.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 47.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 47.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 47.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 53.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 53.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 53.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 53.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 59.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 59.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 59.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -6.5 and O/U 59.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 47.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 47.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 47.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 47.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 53.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 53.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 53.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 53.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 59.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 59.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 59.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -9.5 and O/U 59.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 22.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 22.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 22.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 22.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 26.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 26.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 26.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 26.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 30.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 30.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 30.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 30.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 22.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 22.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 22.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 22.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 26.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 26.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 26.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 26.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 30.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 30.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 30.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -3.5 and O/U 30.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 22.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 22.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 22.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 22.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 26.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 26.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 26.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 26.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 30.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 30.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 30.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -5.5 and O/U 30.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 12.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 12.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 12.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 12.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 6.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 6.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 6.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 6.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 9.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 9.5 Points,G,away,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 9.5 Points,G,home,,,,,,False
Tampa Bay Buccaneers @ Detroit Lions,1761001200000,Lions,Buccaneers,spread_total_combo,Point Spread -1.5 and O/U 9.5 Points,G,away,,,,,,False
