event,game_time,home_team,away_team,market_key,market_name,period,team_side,line,price_home,price_away,over_price,under_price,is_alternate,price,threshold,range_low,range_high,range_type,total_line,spread_line,total_side,winner,combo,ht_result,ft_result,tie,side,ev_units
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Pittsburgh Steelers @ Cincinnati Bengals,1760660100000,Bengals,Steelers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Los Angeles Rams @ Jacksonville Jaguars,1760880600000,Jaguars,Rams,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Los Angeles Rams @ Jacksonville Jaguars,1760880600000,Jaguars,Rams,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Carolina Panthers @ New York Jets,1760893200000,Jets,Panthers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Carolina Panthers @ New York Jets,1760893200000,Jets,Panthers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Las Vegas Raiders @ Kansas City Chiefs,1760893200000,Chiefs,Raiders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Las Vegas Raiders @ Kansas City Chiefs,1760893200000,Chiefs,Raiders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Miami Dolphins @ Cleveland Browns,1760893200000,Browns,Dolphins,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Miami Dolphins @ Cleveland Browns,1760893200000,Browns,Dolphins,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
New England Patriots @ Tennessee Titans,1760893200000,Titans,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
New England Patriots @ Tennessee Titans,1760893200000,Titans,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
New Orleans Saints @ Chicago Bears,1760893200000,Bears,Saints,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
New Orleans Saints @ Chicago Bears,1760893200000,Bears,Saints,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Philadelphia Eagles @ Minnesota Vikings,1760893200000,Vikings,Eagles,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Philadelphia Eagles @ Minnesota Vikings,1760893200000,Vikings,Eagles,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Indianapolis Colts @ Los Angeles Chargers,1760904300000,Chargers,Colts,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Indianapolis Colts @ Los Angeles Chargers,1760904300000,Chargers,Colts,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
New York Giants @ Denver Broncos,1760904300000,Broncos,Giants,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
New York Giants @ Denver Broncos,1760904300000,Broncos,Giants,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Green Bay Packers @ Arizona Cardinals,1760905500000,Cardinals,Packers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Green Bay Packers @ Arizona Cardinals,1760905500000,Cardinals,Packers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
