feature,mi
away_net_margin,3.696483940625477
elo_away_pre,3.6956600372524724
def_ppg_diff,3.6939694422661
elo_home_pre,3.6938095760783822
home_off_ppg,3.6918637177510476
away_def_ppg,3.691858105897909
home_def_ppg,3.689462173661407
elo_diff,3.688697082081861
away_off_ppg,3.6883420255736636
home_net_margin,3.6873196238319594
net_margin_diff,3.6861623732265976
def_epa_diff,3.6832989360878035
off_ppg_diff,3.6832336598853956
pace_secs_play_diff,3.6799691955918163
sos_diff,3.676503830607282
pass_rate_diff,3.6738597929725496
rush_rate_diff,3.6694009085944366
off_epa_diff,3.6692371136385336
def_epa_2h_h,3.4912738902308402
away_sos,3.486922426815418
off_epa_2h_h,3.4834830493969973
home_sos,3.4664990825706177
home_def_epa,3.4660640051281173
off_epa_1h_a,3.4641582526222017
off_epa_1h_h,3.4626999093138977
def_epa_1h_h,3.460563109937764
home_off_epa,3.45514975404368
away_pace_secs_play,3.453191359308189
def_epa_1h_a,3.4530158704534335
home_pace_secs_play,3.4513604237248554
away_off_epa,3.449305485599432
def_epa_2h_a,3.4365745787116357
off_epa_2h_a,3.4333636591044776
away_def_epa,3.4312631352437464
home_rush_rate,3.372811101183604
home_pass_rate,3.367589883524815
away_pass_rate,3.364985738571847
away_rush_rate,3.3620017153825517
total_points,2.7886640215305554
home_margin,2.509989829566989
home_second_half,1.947127702934241
away_second_half,1.940486192619265
away_first_half,1.8023543796839014
home_first_half,1.718683822396068
home_q4,1.4836200202659588
away_q4,1.367858824351762
away_q2,1.3497366505021633
home_q2,1.2930905680480969
home_rating_games,1.2269659376411433
away_rating_games,1.224987037443766
away_q3,1.1178621791484988
home_q1,1.0468361080930966
home_q3,0.9326116534423297
away_q1,0.92917899360575
rest_days_diff,0.9150480337920581
away_rest_days,0.8434502203060106
home_rest_days,0.8301601913515695
inj_starters_out_diff,0.2312829477059446
inj_wr_top2_out_diff,0.18241447450430215
inj_wr1_out_diff,0.17061631538210786
inj_qb_out_diff,0.1368249607090326
away_inj_starters_out,0.11836814602229406
away_inj_wr_top2_out,0.100347822876798
home_inj_starters_out,0.09319796677540593
away_inj_wr1_out,0.09116685061097751
home_inj_wr_top2_out,0.09104516475420121
home_inj_qb_out,0.07461088004694538
away_inj_qb_out,0.06531282834664909
home_inj_wr1_out,0.06504443453498254
is_postseason,0.027605805347585832
def_te_share_mult_diff,0.01161366069981895
def_wr_ypt_mult_diff,0.010929675133385608
off_sack_rate_diff,0.006458438625291496
def_rb_ypt_mult_diff,0.00505452003207818
def_rb_share_mult_diff,0.0033273123958461603
def_rz_pass_rate_diff,0.0029053689894653623
def_wr_share_mult_diff,0.002290296801884306
inj_te1_out_diff,0.002000161519834176
qb_adj_diff,0.0015210184039400332
neutral_site_flag,0.0
inj_rb1_out_diff,0.0
def_te_ypt_mult_diff,0.0
away_inj_rb1_out,0.0
off_rz_pass_rate_diff,0.0
def_sack_rate_diff,0.0
away_inj_te1_out,0.0
home_inj_rb1_out,0.0
home_inj_te1_out,0.0
