bin_low,bin_high,count,pred_mean,obs_rate
0.423,0.491,11,0.4719270855886389,0.6363636363636364
0.491,0.516,10,0.5033134748765955,0.4
0.516,0.534,12,0.5262890947148043,0.5
0.534,0.546,9,0.540814256037113,0.5555555555555556
0.546,0.552,11,0.5496242330245746,0.5454545454545454
0.552,0.559,11,0.5565754042347374,0.45454545454545453
0.559,0.567,9,0.5631162142314432,0.4444444444444444
0.567,0.579,11,0.5717279978327169,0.2727272727272727
0.579,0.598,10,0.5872054628948955,0.3
0.598,0.653,11,0.6209200620599599,0.5454545454545454
