season,end_week,lookback,RECS_MIN_EV_PCT,RECS_ONE_PER_GAME,RECS_WP_MARKET_BAND,RECS_ATS_BAND,RECS_TOTAL_BAND,RECS_PROB_SHRINK,rows,ml_rows,ml_win_rate,sp_rows,sp_win_rate,tot_rows,tot_win_rate
2025,17,6,2.0,false,0.12,0.1,0.1,0.35,257,90,0.52,90,0.4473684210526316,77,0.4605263157894737
2025,17,6,2.0,false,0.12,0.1,0.0,0.35,256,90,0.52,90,0.4473684210526316,76,0.4605263157894737
2025,17,6,2.0,false,0.12,0.0,0.1,0.35,243,90,0.52,76,0.4473684210526316,77,0.4605263157894737
2025,17,6,2.0,false,0.12,0.0,0.0,0.35,242,90,0.52,76,0.4473684210526316,76,0.4605263157894737
2025,17,6,2.0,false,0.0,0.1,0.1,0.35,242,75,0.52,90,0.4473684210526316,77,0.4605263157894737
2025,17,6,2.0,false,0.0,0.1,0.0,0.35,241,75,0.52,90,0.4473684210526316,76,0.4605263157894737
2025,17,6,2.0,false,0.0,0.0,0.1,0.35,228,75,0.52,76,0.4473684210526316,77,0.4605263157894737
2025,17,6,2.0,false,0.0,0.0,0.0,0.35,227,75,0.52,76,0.4473684210526316,76,0.4605263157894737
2025,17,6,2.0,true,0.12,0.1,0.1,0.35,91,89,0.527027027027027,2,0.0,0,
2025,17,6,2.0,true,0.12,0.1,0.0,0.35,91,89,0.527027027027027,2,0.0,0,
2025,17,6,2.0,true,0.12,0.0,0.1,0.35,91,89,0.527027027027027,2,0.0,0,
2025,17,6,2.0,true,0.12,0.0,0.0,0.35,91,89,0.527027027027027,2,0.0,0,
2025,17,6,2.0,true,0.0,0.1,0.1,0.35,90,74,0.527027027027027,16,0.0,0,
2025,17,6,2.0,true,0.0,0.1,0.0,0.35,90,74,0.527027027027027,16,0.0,0,
2025,17,6,2.0,true,0.0,0.0,0.1,0.35,77,74,0.527027027027027,2,0.0,1,0.0
2025,17,6,2.0,true,0.0,0.0,0.0,0.35,76,74,0.527027027027027,2,0.0,0,
2025,17,6,5.0,false,0.12,0.1,0.1,0.35,255,90,0.52,89,0.4473684210526316,76,0.4605263157894737
2025,17,6,5.0,false,0.12,0.1,0.0,0.35,255,90,0.52,89,0.4473684210526316,76,0.4605263157894737
2025,17,6,5.0,false,0.12,0.0,0.1,0.35,242,90,0.52,76,0.4473684210526316,76,0.4605263157894737
2025,17,6,5.0,false,0.12,0.0,0.0,0.35,242,90,0.52,76,0.4473684210526316,76,0.4605263157894737
2025,17,6,5.0,false,0.0,0.1,0.1,0.35,240,75,0.52,89,0.4473684210526316,76,0.4605263157894737
2025,17,6,5.0,false,0.0,0.1,0.0,0.35,240,75,0.52,89,0.4473684210526316,76,0.4605263157894737
2025,17,6,5.0,false,0.0,0.0,0.1,0.35,227,75,0.52,76,0.4473684210526316,76,0.4605263157894737
2025,17,6,5.0,false,0.0,0.0,0.0,0.35,227,75,0.52,76,0.4473684210526316,76,0.4605263157894737
2025,17,6,5.0,true,0.12,0.1,0.1,0.35,91,89,0.527027027027027,2,0.0,0,
2025,17,6,5.0,true,0.12,0.1,0.0,0.35,91,89,0.527027027027027,2,0.0,0,
2025,17,6,5.0,true,0.12,0.0,0.1,0.35,91,89,0.527027027027027,2,0.0,0,
2025,17,6,5.0,true,0.12,0.0,0.0,0.35,91,89,0.527027027027027,2,0.0,0,
2025,17,6,5.0,true,0.0,0.1,0.1,0.35,89,74,0.527027027027027,15,0.0,0,
2025,17,6,5.0,true,0.0,0.1,0.0,0.35,89,74,0.527027027027027,15,0.0,0,
2025,17,6,5.0,true,0.0,0.0,0.1,0.35,76,74,0.527027027027027,2,0.0,0,
2025,17,6,5.0,true,0.0,0.0,0.0,0.35,76,74,0.527027027027027,2,0.0,0,
