type,selection,odds,ev_units,ev_pct,prob_selected,prob_home_cover,prob_selected_mc,prob_home_cover_mc,confidence,sort_weight,season,week,game_date,home_team,away_team,result,game_id,prob_over_total,prob_over_total_mc,prob_home_win,prob_home_win_mc
SPREAD,San Francisco 49ers -7.0,-110,0.1348835643016172,13.48835643016172,0.5944628193960851,0.5944628193960851,,,High,"(3, 0.1348835643016172)",2025,12,2025-11-24,San Francisco 49ers,Carolina Panthers,Win,2025_12_CAR_SF,,,,
TOTAL,Under 45.5,-110,0.045079614968427384,4.507961496842738,0.5474226554596524,,,,Low,"(1, 0.045079614968427384)",2025,12,2025-11-23,Baltimore Ravens,New York Jets,Win,2025_12_NYJ_BAL,0.4525773445403476,,,
SPREAD,Chicago Bears -1.5,-110,0.1645949223612665,16.45949223612665,0.6100259117130443,0.6100259117130443,,,High,"(3, 0.1645949223612665)",2025,12,2025-11-23,Chicago Bears,Pittsburgh Steelers,Win,2025_12_PIT_CHI,,,,
SPREAD,Cincinnati Bengals +5.5,-110,0.3882294352740343,38.82294352740343,0.727167799429256,0.727167799429256,,,High,"(3, 0.3882294352740343)",2025,12,2025-11-23,Cincinnati Bengals,New England Patriots,Loss,2025_12_NE_CIN,,,,
TOTAL,Under 49.5,-110,0.09484035280226277,9.484035280226276,0.5734878038488043,,,,Medium,"(2, 0.09484035280226277)",2025,12,2025-11-23,Detroit Lions,New York Giants,Loss,2025_12_NYG_DET,0.42651219615119573,,,
SPREAD,Green Bay Packers -6.5,-110,0.03263864804665639,3.2638648046656393,0.5409059585006295,0.5409059585006295,,,,"(0, 0.03263864804665639)",2025,12,2025-11-23,Green Bay Packers,Minnesota Vikings,Win,2025_12_MIN_GB,,,,
SPREAD,Kansas City Chiefs -4.5,-110,0.22076574958652606,22.076574958652607,0.6394487259738946,0.6394487259738946,,,High,"(3, 0.22076574958652606)",2025,12,2025-11-23,Kansas City Chiefs,Indianapolis Colts,Loss,2025_12_IND_KC,,,,
SPREAD,Tennessee Titans +12.5,-110,0.39967348449162843,39.96734844916284,0.7331623014003767,0.7331623014003767,,,High,"(3, 0.39967348449162843)",2025,12,2025-11-23,Tennessee Titans,Seattle Seahawks,Win,2025_12_SEA_TEN,,,,
SPREAD,Arizona Cardinals -1.5,-110,0.19190389685510645,19.190389685510645,0.6243306126383891,0.6243306126383891,,,High,"(3, 0.19190389685510645)",2025,12,2025-11-23,Arizona Cardinals,Jacksonville Jaguars,Loss,2025_12_JAX_ARI,,,,
SPREAD,Las Vegas Raiders -1.5,-110,0.17340285414267298,17.3402854142673,0.6146395902652096,0.6146395902652096,,,High,"(3, 0.17340285414267298)",2025,12,2025-11-23,Las Vegas Raiders,Cleveland Browns,Loss,2025_12_CLE_LV,,,,
SPREAD,New Orleans Saints +3.0,-110,0.16899401636711042,16.89940163671104,0.6123301990494388,0.6123301990494388,,,High,"(3, 0.16899401636711042)",2025,12,2025-11-23,New Orleans Saints,Atlanta Falcons,Loss,2025_12_ATL_NO,,,,
