type,selection,odds,ev_units,ev_pct,confidence,sort_weight,season,week,game_date,home_team,away_team,result,game_id
MONEYLINE,San Francisco 49ers ML,-310,0.21277225637418545,21.277225637418546,High,"(3, 0.21277225637418545)",2025,12,2025-11-24,San Francisco 49ers,Carolina Panthers,Win,2025_12_CAR_SF
MONEYLINE,Baltimore Ravens ML,-625,0.08843228270089915,8.843228270089915,Medium,"(2, 0.08843228270089915)",2025,12,2025-11-23,Baltimore Ravens,New York Jets,Win,2025_12_NYJ_BAL
MONEYLINE,Chicago Bears ML,-135,0.5169477991073806,51.69477991073806,High,"(3, 0.5169477991073806)",2025,12,2025-11-23,Chicago Bears,Pittsburgh Steelers,Win,2025_12_PIT_CHI
MONEYLINE,Cincinnati Bengals ML,-225,0.39874013040891587,39.87401304089159,High,"(3, 0.39874013040891587)",2025,12,2025-11-23,Cincinnati Bengals,New England Patriots,Loss,2025_12_NE_CIN
MONEYLINE,Detroit Lions ML,-410,0.16334776422287,16.334776422287,High,"(3, 0.16334776422287)",2025,12,2025-11-23,Detroit Lions,New York Giants,Win,2025_12_NYG_DET
MONEYLINE,Green Bay Packers ML,-185,0.5137209901695958,51.37209901695958,High,"(3, 0.5137209901695958)",2025,12,2025-11-23,Green Bay Packers,Minnesota Vikings,Win,2025_12_MIN_GB
MONEYLINE,Kansas City Chiefs ML,-455,0.14078769122565868,14.078769122565868,High,"(3, 0.14078769122565868)",2025,12,2025-11-23,Kansas City Chiefs,Indianapolis Colts,Win,2025_12_IND_KC
MONEYLINE,Tennessee Titans ML,105,0.7389625632497148,73.89625632497147,High,"(3, 0.7389625632497148)",2025,12,2025-11-23,Tennessee Titans,Seattle Seahawks,Loss,2025_12_SEA_TEN
MONEYLINE,Arizona Cardinals ML,-162,0.2924879829948741,29.24879829948741,High,"(3, 0.2924879829948741)",2025,12,2025-11-23,Arizona Cardinals,Jacksonville Jaguars,Loss,2025_12_JAX_ARI
MONEYLINE,Las Vegas Raiders ML,-185,0.51379416323233,51.379416323232995,High,"(3, 0.51379416323233)",2025,12,2025-11-23,Las Vegas Raiders,Cleveland Browns,Loss,2025_12_CLE_LV
MONEYLINE,Dallas Cowboys ML,136,0.9398932401092401,93.98932401092401,High,"(3, 0.9398932401092401)",2025,12,2025-11-23,Dallas Cowboys,Philadelphia Eagles,Win,2025_12_PHI_DAL
MONEYLINE,New Orleans Saints ML,110,0.7679198458005567,76.79198458005567,High,"(3, 0.7679198458005567)",2025,12,2025-11-23,New Orleans Saints,Atlanta Falcons,Loss,2025_12_ATL_NO
MONEYLINE,Los Angeles Rams ML,-142,0.37821917895728796,37.821917895728795,High,"(3, 0.37821917895728796)",2025,12,2025-11-23,Los Angeles Rams,Tampa Bay Buccaneers,Win,2025_12_TB_LA
MONEYLINE,Houston Texans ML,160,1.246339105892032,124.6339105892032,High,"(3, 1.246339105892032)",2025,12,2025-11-20,Houston Texans,Buffalo Bills,Win,2025_12_BUF_HOU
MONEYLINE,New England Patriots ML,-166,0.5763765799894436,57.637657998944356,High,"(3, 0.5763765799894436)",2025,13,2025-12-01,New England Patriots,New York Giants,Win,2025_13_NYG_NE
MONEYLINE,Carolina Panthers ML,154,1.2670417840327812,126.70417840327812,High,"(3, 1.2670417840327812)",2025,13,2025-11-30,Carolina Panthers,Los Angeles Rams,Win,2025_13_LA_CAR
MONEYLINE,San Francisco 49ers ML,-258,0.23434313214772323,23.434313214772324,High,"(3, 0.23434313214772323)",2025,13,2025-11-30,Cleveland Browns,San Francisco 49ers,Win,2025_13_SF_CLE
MONEYLINE,Indianapolis Colts ML,105,0.7389625632497148,73.89625632497147,High,"(3, 0.7389625632497148)",2025,13,2025-11-30,Indianapolis Colts,Houston Texans,Loss,2025_13_HOU_IND
MONEYLINE,Miami Dolphins ML,-258,0.36497853082032644,36.49785308203264,High,"(3, 0.36497853082032644)",2025,13,2025-11-30,Miami Dolphins,New Orleans Saints,Win,2025_13_NO_MIA
MONEYLINE,New York Jets ML,105,0.7258265161386386,72.58265161386386,High,"(3, 0.7258265161386386)",2025,13,2025-11-30,New York Jets,Atlanta Falcons,Win,2025_13_ATL_NYJ
MONEYLINE,Tampa Bay Buccaneers ML,-185,0.49107261236839095,49.10726123683909,High,"(3, 0.49107261236839095)",2025,13,2025-11-30,Tampa Bay Buccaneers,Arizona Cardinals,Win,2025_13_ARI_TB
MONEYLINE,Tennessee Titans ML,105,0.777729478635864,77.7729478635864,High,"(3, 0.777729478635864)",2025,13,2025-11-30,Tennessee Titans,Jacksonville Jaguars,Loss,2025_13_JAX_TEN
MONEYLINE,Seattle Seahawks ML,-125,0.5236443082589944,52.36443082589945,High,"(3, 0.5236443082589944)",2025,13,2025-11-30,Seattle Seahawks,Minnesota Vikings,Win,2025_13_MIN_SEA
MONEYLINE,Los Angeles Chargers ML,-278,0.33754839274668935,33.75483927466894,High,"(3, 0.33754839274668935)",2025,13,2025-11-30,Los Angeles Chargers,Las Vegas Raiders,Win,2025_13_LV_LAC
MONEYLINE,Pittsburgh Steelers ML,180,1.41913442172988,141.913442172988,High,"(3, 1.41913442172988)",2025,13,2025-11-30,Pittsburgh Steelers,Buffalo Bills,Loss,2025_13_BUF_PIT
MONEYLINE,Washington Commanders ML,-135,0.4939643653311031,49.39643653311031,High,"(3, 0.4939643653311031)",2025,13,2025-11-30,Washington Commanders,Denver Broncos,Loss,2025_13_DEN_WAS
TOTAL,Over 45.5 (-108),-110,0.1310533631836256,13.105336318362559,High,"(3, 0.1310533631836256)",2025,13,2025-11-28,Philadelphia Eagles,Chicago Bears,Loss,2025_13_CHI_PHI
MONEYLINE,Detroit Lions ML,-148,0.3551308523051109,35.51308523051109,High,"(3, 0.3551308523051109)",2025,13,2025-11-27,Detroit Lions,Green Bay Packers,Loss,2025_13_GB_DET
MONEYLINE,Dallas Cowboys ML,154,1.0878511991006226,108.78511991006225,High,"(3, 1.0878511991006226)",2025,13,2025-11-27,Dallas Cowboys,Kansas City Chiefs,Win,2025_13_KC_DAL
MONEYLINE,Baltimore Ravens ML,-245,0.36360694032015195,36.360694032015196,High,"(3, 0.36360694032015195)",2025,13,2025-11-27,Baltimore Ravens,Cincinnati Bengals,Loss,2025_13_CIN_BAL
MONEYLINE,Los Angeles Chargers ML,114,0.7590557346753274,75.90557346753273,High,"(3, 0.7590557346753274)",2025,14,2025-12-08,Los Angeles Chargers,Philadelphia Eagles,Win,2025_14_PHI_LAC
MONEYLINE,Atlanta Falcons ML,-125,0.5680942205541807,56.80942205541807,High,"(3, 0.5680942205541807)",2025,14,2025-12-07,Atlanta Falcons,Seattle Seahawks,Loss,2025_14_SEA_ATL
MONEYLINE,Baltimore Ravens ML,-410,0.14062637556667895,14.062637556667895,High,"(3, 0.14062637556667895)",2025,14,2025-12-07,Baltimore Ravens,Pittsburgh Steelers,Loss,2025_14_PIT_BAL
MONEYLINE,Cleveland Browns ML,-125,0.5236443082589944,52.36443082589945,High,"(3, 0.5236443082589944)",2025,14,2025-12-07,Cleveland Browns,Tennessee Titans,Loss,2025_14_TEN_CLE
