feature,mi
home_margin,0.6894799169503233
elo_away_pre,0.6888996819163886
away_net_margin,0.6884410609353201
away_def_ppg,0.6882361476483305
elo_diff,0.6880996922306054
off_ppg_diff,0.6876433059801779
net_margin_diff,0.6873698332280164
home_net_margin,0.687348198658645
home_off_ppg,0.6873450153903604
def_ppg_diff,0.6870916187244485
home_def_ppg,0.6870499773924851
away_off_ppg,0.6869392117012475
elo_home_pre,0.6867028739099953
sos_diff,0.6722987584020239
def_epa_diff,0.6719749722581175
off_epa_diff,0.6710000088254031
pace_secs_play_diff,0.6703875323316831
rush_rate_diff,0.6698877375443696
pass_rate_diff,0.6683317381478288
away_sos,0.6211582449883051
away_off_epa,0.6179735421496898
def_epa_2h_h,0.616362286579909
off_epa_2h_h,0.6137324527442786
off_epa_2h_a,0.613160867533161
home_def_epa,0.611964476473754
def_epa_1h_a,0.6117182340422842
away_pace_secs_play,0.6116294530909128
def_epa_1h_h,0.611005346074466
home_sos,0.6104090387787624
def_epa_2h_a,0.610026616030511
home_pace_secs_play,0.609620115084464
off_epa_1h_a,0.6091039867714361
away_def_epa,0.6076061882722763
off_epa_1h_h,0.6068313163327419
home_off_epa,0.6063081658175209
home_pass_rate,0.5938715788285645
home_rush_rate,0.589394782202425
away_rush_rate,0.5560559997745396
away_pass_rate,0.5517167490472141
total_points,0.31910799750717556
home_second_half,0.24958520056605926
away_second_half,0.23037387861368375
away_first_half,0.2031320483467165
home_first_half,0.13938568448638877
away_q3,0.12714625699495907
home_q4,0.12597121982743498
away_q4,0.1133105816597848
home_q2,0.09931988661288838
away_q2,0.09394738819699655
home_q1,0.08731305469203154
away_q1,0.06098566875203071
home_q3,0.0591753998885034
away_rest_days,0.051203192913076956
home_rest_days,0.0418566591151972
rest_days_diff,0.03975174633219991
inj_starters_out_diff,0.038445708224882136
inj_wr1_out_diff,0.0378094812529457
inj_qb_out_diff,0.035994414589494594
inj_wr_top2_out_diff,0.035808196927276326
home_inj_wr_top2_out,0.026245393482984714
home_inj_starters_out,0.02558589625969776
home_inj_qb_out,0.017852480723211883
away_inj_starters_out,0.016023876791941394
away_inj_wr1_out,0.01585065301663091
home_inj_wr1_out,0.015668244089579675
away_inj_wr_top2_out,0.014991226281729775
away_inj_qb_out,0.01061584267174287
away_rating_games,0.01037156580281784
def_rb_share_mult_diff,0.008630206057314682
def_wr_share_mult_diff,0.008351259589870486
home_rating_games,0.007885048945297513
is_postseason,0.007307662512179958
def_sack_rate_diff,0.0066439450057349525
def_rz_pass_rate_diff,0.0064515175139803205
def_te_ypt_mult_diff,0.004918725333787011
qb_adj_diff,0.004844184448910216
away_inj_te1_out,0.004490589661913624
inj_rb1_out_diff,0.0016102729451408226
off_sack_rate_diff,0.0009924252536108735
neutral_site_flag,0.0
def_te_share_mult_diff,0.0
def_rb_ypt_mult_diff,0.0
inj_te1_out_diff,0.0
away_inj_rb1_out,0.0
off_rz_pass_rate_diff,0.0
home_inj_rb1_out,0.0
home_inj_te1_out,0.0
def_wr_ypt_mult_diff,0.0
