type,selection,odds,ev_units,ev_pct,confidence,sort_weight,season,week,game_date,home_team,away_team,result,game_id
MONEYLINE,San Francisco 49ers ML,-310,0.32258064516129026,32.258064516129025,High,"(3, 0.32258064516129026)",2025,12,2025-11-24,San Francisco 49ers,Carolina Panthers,Win,2025_12_CAR_SF
MONEYLINE,Baltimore Ravens ML,-625,0.15999999999999992,15.999999999999993,High,"(3, 0.15999999999999992)",2025,12,2025-11-23,Baltimore Ravens,New York Jets,Win,2025_12_NYJ_BAL
MONEYLINE,Chicago Bears ML,-135,0.6911379484146012,69.11379484146012,High,"(3, 0.6911379484146012)",2025,12,2025-11-23,Chicago Bears,Pittsburgh Steelers,Win,2025_12_PIT_CHI
MONEYLINE,Cincinnati Bengals ML,-225,0.4444444444444444,44.44444444444444,High,"(3, 0.4444444444444444)",2025,12,2025-11-23,Cincinnati Bengals,New England Patriots,Loss,2025_12_NE_CIN
MONEYLINE,Detroit Lions ML,-410,0.24390243902439024,24.390243902439025,High,"(3, 0.24390243902439024)",2025,12,2025-11-23,Detroit Lions,New York Giants,Win,2025_12_NYG_DET
MONEYLINE,Green Bay Packers ML,-185,0.5405405405405406,54.054054054054056,High,"(3, 0.5405405405405406)",2025,12,2025-11-23,Green Bay Packers,Minnesota Vikings,Win,2025_12_MIN_GB
MONEYLINE,Kansas City Chiefs ML,-455,0.2197802197802199,21.97802197802199,High,"(3, 0.2197802197802199)",2025,12,2025-11-23,Kansas City Chiefs,Indianapolis Colts,Win,2025_12_IND_KC
MONEYLINE,Tennessee Titans ML,105,0.6117005059977184,61.17005059977184,High,"(3, 0.6117005059977184)",2025,12,2025-11-23,Tennessee Titans,Seattle Seahawks,Loss,2025_12_SEA_TEN
SPREAD,Arizona Cardinals -1.5,-110,0.08974406194888696,8.974406194888696,Medium,"(2, 0.08974406194888696)",2025,12,2025-11-23,Arizona Cardinals,Jacksonville Jaguars,Loss,2025_12_JAX_ARI
MONEYLINE,Las Vegas Raiders ML,-185,0.5405405405405406,54.054054054054056,High,"(3, 0.5405405405405406)",2025,12,2025-11-23,Las Vegas Raiders,Cleveland Browns,Loss,2025_12_CLE_LV
