feature,mi
def_ppg_diff,0.6921972955825533
away_off_ppg,0.6918796459575639
off_ppg_diff,0.691598443063203
elo_home_pre,0.691598443063203
def_epa_diff,0.6914802246610222
elo_away_pre,0.6913518780412324
home_off_ppg,0.6912037503655258
net_margin_diff,0.6911014425439269
pace_secs_play_diff,0.6910643862286967
away_net_margin,0.6909714843080762
home_def_ppg,0.6909555929285723
away_def_ppg,0.6909515131040178
elo_diff,0.6907957274283884
sos_diff,0.6907463672609567
off_epa_diff,0.6904039745398668
rush_rate_diff,0.6895699224686859
pass_rate_diff,0.6895699224686859
home_net_margin,0.689485386055286
home_def_epa,0.6212122651578166
def_epa_2h_h,0.6204680609906413
away_off_epa,0.6182923471436328
away_sos,0.617884031520171
off_epa_2h_h,0.617610600285514
away_pace_secs_play,0.6171629216202018
home_off_epa,0.6156254345243652
off_epa_1h_a,0.6147137811274692
def_epa_1h_h,0.6138244635596732
home_pace_secs_play,0.6135233798141795
off_epa_1h_h,0.6123915904442125
def_epa_1h_a,0.610866719960532
off_epa_2h_a,0.6107934800742434
def_epa_2h_a,0.6093351993043288
home_sos,0.6090238095819138
away_def_epa,0.603391606601668
home_rush_rate,0.5949179101636568
home_pass_rate,0.5942936346166277
away_rush_rate,0.5670816260105516
away_pass_rate,0.5578620739982925
home_margin,0.42508408873236103
total_points,0.3375135279289265
home_second_half,0.26584884483729376
away_first_half,0.1602591835317877
away_second_half,0.16004793688158991
home_q4,0.15019685275769978
away_q4,0.1399299236181608
home_first_half,0.12340325517858108
home_q2,0.08537324155427917
home_q3,0.07201872614072236
home_q1,0.06674336156620453
away_rest_days,0.06383251224018616
away_q2,0.06067365532397173
rest_days_diff,0.06030947137582654
away_q3,0.05050867664545411
away_q1,0.046899798778761825
home_rest_days,0.04137765716492936
inj_wr1_out_diff,0.03967435551368448
inj_wr_top2_out_diff,0.039105522192464104
inj_starters_out_diff,0.026676919818285683
home_inj_starters_out,0.02651809807546357
home_inj_wr_top2_out,0.026392125452006532
inj_qb_out_diff,0.022719000823897773
away_inj_starters_out,0.02050265739352608
away_inj_wr_top2_out,0.019697297574378325
home_inj_qb_out,0.014509486443643027
home_inj_te1_out,0.012710254115816166
away_inj_wr1_out,0.011463224247397763
home_inj_wr1_out,0.00980673915578767
home_rating_games,0.009646591413665417
def_wr_ypt_mult_diff,0.0073159836932932265
neutral_site_flag,0.006247669535626388
inj_te1_out_diff,0.004742912929729393
def_rb_ypt_mult_diff,0.0027672681751442774
away_rating_games,0.0012032306315177266
off_rz_pass_rate_diff,0.0
def_rz_pass_rate_diff,0.0
off_sack_rate_diff,0.0
def_sack_rate_diff,0.0
qb_adj_diff,0.0
def_wr_share_mult_diff,0.0
is_postseason,0.0
inj_rb1_out_diff,0.0
away_inj_rb1_out,0.0
away_inj_te1_out,0.0
away_inj_qb_out,0.0
home_inj_rb1_out,0.0
def_te_share_mult_diff,0.0
def_te_ypt_mult_diff,0.0
def_rb_share_mult_diff,0.0
