feature,corr
total_points,0.9645483306302416
away_first_half,0.5823335283458856
away_second_half,0.476350022869358
home_first_half,0.45683552305848074
home_second_half,0.45381299494615845
home_q4,0.4388569154412932
away_q1,0.4205898297831078
away_q2,0.4180941543506623
away_q3,0.34891401207448774
home_q2,0.33629989396414306
away_q4,0.3127564336350911
home_q1,0.3073996007366458
away_sos,0.19778104399851384
inj_starters_out_diff,0.19177298080196703
inj_wr1_out_diff,0.19066773568724354
home_q3,0.18459082920478406
inj_qb_out_diff,0.16084537957819253
def_ppg_diff,0.15866267511308366
inj_wr_top2_out_diff,0.1551804329878843
home_inj_wr1_out,0.15410025528412458
rest_days_diff,0.1490922460960828
def_epa_diff,0.14515076674232263
home_inj_starters_out,0.12887485585782044
home_def_epa,0.1276922205711102
def_epa_2h_h,0.12203558668464323
home_inj_wr_top2_out,0.09601489461651563
home_inj_qb_out,0.09601489461651563
away_net_margin,0.09349793508095514
home_def_ppg,0.08295726843675613
def_epa_1h_h,0.07481593054420453
home_pace_secs_play,0.07478740652049112
away_rating_games,0.07043524898638599
home_sos,0.06210234113231461
home_rest_days,0.0596881210642049
home_rating_games,0.059409308242639965
off_epa_2h_a,0.053245358656903725
off_ppg_diff,0.03367678424891869
home_off_epa,0.02964778079527905
home_pass_rate,0.028086095062709603
away_rush_rate,0.0265596323602409
home_off_ppg,0.02459878039779152
away_off_epa,0.020085889755156947
off_epa_1h_h,0.016638810984703996
off_epa_diff,0.004468207518366616
off_epa_1h_a,-0.00012976975311980164
elo_diff,-0.01941061714369402
away_off_ppg,-0.020772001008733394
away_pass_rate,-0.02655963236024084
home_rush_rate,-0.02808609506270965
off_epa_2h_h,-0.029027133212987704
def_epa_1h_a,-0.040736323940846385
home_net_margin,-0.04305209078867149
elo_away_pre,-0.0445260376241392
pace_secs_play_diff,-0.048039292498090906
away_pace_secs_play,-0.05174637252434639
home_margin,-0.0564705274549568
elo_home_pre,-0.07153590524087924
away_def_epa,-0.088781992525707
pass_rate_diff,-0.09377542750209572
net_margin_diff,-0.09911321941288306
away_rest_days,-0.10199804100079896
sos_diff,-0.10635404301320942
is_postseason,-0.10989128178594522
def_epa_2h_a,-0.12251687882939973
away_inj_wr_top2_out,-0.12606513624090254
away_inj_wr1_out,-0.12606513624090254
rush_rate_diff,-0.13763147652440333
away_inj_qb_out,-0.1454542602160488
away_inj_starters_out,-0.1466050655526678
away_def_ppg,-0.1546783584275409
off_sack_rate_diff,
def_sack_rate_diff,
off_rz_pass_rate_diff,
def_rz_pass_rate_diff,
def_wr_share_mult_diff,
def_te_share_mult_diff,
def_rb_share_mult_diff,
def_wr_ypt_mult_diff,
def_te_ypt_mult_diff,
def_rb_ypt_mult_diff,
qb_adj_diff,
home_inj_te1_out,
home_inj_rb1_out,
away_inj_te1_out,
away_inj_rb1_out,
inj_te1_out_diff,
inj_rb1_out_diff,
neutral_site_flag,
