bin_low,bin_high,count,pred_mean,obs_rate
0.46,0.5,11,0.48959150505520377,0.7272727272727273
0.5,0.508,11,0.5046180303670437,0.36363636363636365
0.508,0.515,10,0.5108839117961798,0.4
0.515,0.52,11,0.517866174472696,0.6363636363636364
0.52,0.525,10,0.5222456486747251,0.7
0.525,0.527,11,0.5268388232066642,0.2727272727272727
0.527,0.533,10,0.5299044565045308,0.4
0.533,0.539,11,0.5360367322320806,0.36363636363636365
0.539,0.544,10,0.5403049507631199,0.6
0.544,0.583,11,0.5564277784298303,0.5454545454545454
