scenario_id,delta_pred_margin,delta_pred_total,delta_spread_ref,delta_total_ref,delta_home_points_mean,delta_away_points_mean,delta_total_points_mean,delta_prob_home_win_mc,delta_prob_home_cover_mc,delta_prob_over_total_mc,n_games_applies,n_games,scenario_label
v2_baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16,Baseline
v2_blend_10_20,0.0,0.12469968102376106,0.0,0.0,0.20560819545606224,0.09385219969615322,0.29946039515221434,0.0037499999999999964,0.005468750000000005,0.006593750000000002,16,16,Market blend m=0.10 t=0.20
v2_cold_minus15,0.0,0.0,0.0,0.0,0.14206728823909698,0.07679569942232578,0.21886298766142165,0.0001874999999999915,0.004781249999999994,0.004843750000000001,16,16,Temp -15F
v2_elo_minus100,-0.08,0.0,0.0,0.0,0.08132561661131155,0.06289224258314796,0.14421785919446162,-0.0030312500000000036,0.0022499999999999916,0.009250000000000005,16,16,Home Elo -100 (diff)
v2_elo_plus100,0.08000000000000002,0.0,0.0,0.0,0.20004322907540528,0.016835267762714823,0.21687849683812122,0.004250000000000001,0.00775,0.006062500000000002,16,16,Home Elo +100 (diff)
v2_inj_away_plus1,0.0,-0.4000000000000008,0.0,0.0,-0.02512672118831205,-0.09025496631218832,-0.11538168750050115,-0.0020937499999999993,0.0024062499999999917,-0.005843749999999995,16,16,Away starters out +1
v2_inj_away_plus2,0.0,-0.8000000000000025,0.0,0.0,-0.2812300064227501,-0.37561024669952725,-0.6568402531222781,0.0029374999999999974,0.005624999999999988,-0.019156249999999996,16,16,Away starters out +2
v2_inj_home_plus1,0.0,-0.4000000000000008,0.0,0.0,-0.0902915252906975,-0.15474073109594078,-0.24503225638663784,-0.002906250000000007,0.0008437499999999903,-0.0066249999999999955,16,16,Home starters out +1
v2_inj_home_plus2,0.0,-0.8000000000000025,0.0,0.0,-0.28669195879488996,-0.42776411404034476,-0.714456072835234,0.0031249999999999984,0.0036562499999999963,-0.019062499999999996,16,16,Home starters out +2
v2_neutral_site,0.0,0.0,0.0,0.0,0.058835918141366794,0.06682001860750786,0.1256559367488732,-0.001531250000000004,-0.001031250000000001,0.006593750000000002,16,16,Neutral site
v2_precip_plus25,0.0,0.0,0.0,0.0,0.1110029777467535,0.056848475076199945,0.1678514528229531,-0.0016562499999999989,0.0018437499999999843,0.005125000000000001,16,16,Precip +25%
v2_precip_plus50,0.0,0.0,0.0,0.0,0.05505939503930379,-0.014961279438330699,0.04009811560097143,0.0008749999999999964,0.002343749999999995,0.00040625000000000383,16,16,Precip +50%
v2_pressure_plus005,0.0,-0.8000000000000003,0.0,0.0,-0.2774358632098298,-0.4124756595334824,-0.6899115227433135,0.0027187500000000085,0.008406249999999994,-0.022062499999999995,16,16,Home/away pressure +0.05
v2_rest_minus7,-0.14999999999999997,0.0,0.0,0.0,-0.03967189485942868,0.03528776323937177,-0.004384131620057019,-0.0025937499999999997,-0.0009999999999999974,-0.001062500000000001,16,16,Home rest -7 days (diff)
v2_rest_plus7,0.14999999999999997,0.0,0.0,0.0,0.06363152549935547,-0.13173676270305568,-0.06810523720370165,0.0050000000000000044,0.00828125,-0.0033749999999999926,16,16,Home rest +7 days (diff)
v2_sigma_high,0.0,0.0,0.0,0.0,-0.03332420940740377,0.07727088839898344,0.043946678991579,0.04353125,0.008687499999999987,0.0019062499999999982,16,16,High volatility
v2_sigma_low,0.0,0.0,0.0,0.0,0.10549256708139843,-0.02633839316590003,0.07915417391549884,0.003625000000000006,0.006812499999999989,-0.020250000000000004,16,16,Low volatility
v2_spread_home_minus3,3.0000000000000004,0.0,-3.0,0.0,1.5334261368031556,-1.514814840152168,0.018611296650989484,0.11406250000000001,0.0022187500000000054,-0.0004375000000000108,16,16,Spread home -3.0
v2_spread_home_plus3,-3.0000000000000004,0.0,3.0,0.0,-1.4331693173051967,1.5035796200177032,0.0704103027125047,-0.1035,0.003718749999999993,0.002875000000000006,16,16,Spread home +3.0
v2_total_minus3,0.0,-2.62300633219254,0.0,-3.0,-1.239291680736904,-1.2569663933017732,-2.496258074038677,-0.0035624999999999954,-0.0031562500000000097,0.011343749999999996,16,16,Total -3.0
v2_total_plus3,0.0,2.62300633219254,0.0,3.0,1.3877480429213063,1.2920680005783505,2.679816043499656,0.0034999999999999988,0.007437499999999996,-0.012562499999999997,16,16,Total +3.0
v2_wind_plus10,0.0,-0.5,0.0,0.0,-0.21398595241915863,-0.2517611490693674,-0.4657471014885277,-0.004187499999999998,0.00415624999999999,-0.013624999999999991,16,16,Wind +10mph (open)
v2_wind_plus20,0.0,-1.0,0.0,0.0,-0.37065712386732197,-0.511278877992422,-0.8819360018597444,0.006249999999999991,0.005562499999999991,-0.02225,16,16,Wind +20mph (open)
