week,n_games,acc_spread_cover
1,16,1.0
2,16,1.0
3,16,1.0
4,16,1.0
5,14,0.35714285714285715
6,15,0.6666666666666666
7,15,0.5333333333333333
8,13,0.38461538461538464
9,14,0.5
10,14,0.35714285714285715
11,15,0.5333333333333333
12,14,0.8571428571428571
13,16,0.625
14,14,0.42857142857142855
15,16,0.5
16,16,0.4375
