bin_low,bin_high,count,pred_mean,obs_rate
0.423,0.491,11,0.4719270855886389,0.6363636363636364
0.491,0.516,11,0.5042678682492044,0.36363636363636365
0.516,0.534,12,0.5262890947148043,0.5
0.534,0.546,10,0.5413035523136731,0.6
0.546,0.553,11,0.5502934385398978,0.45454545454545453
0.553,0.56,10,0.5569260967110844,0.5
0.56,0.568,11,0.5638219445553934,0.36363636363636365
0.568,0.58,11,0.5729889485477568,0.36363636363636365
0.58,0.6,11,0.5898616896514594,0.36363636363636365
0.6,0.653,11,0.6245974595223122,0.45454545454545453
