week,n_games,home_pred_rate,acc_home_win,mae_margin,mae_total
1,16,0.25,0.6875,6.738632804102409,11.844656983286212
2,16,0.5625,0.75,9.103976702920916,11.056299289201363
3,16,0.5,0.625,13.60757242420549,11.481060682870439
4,16,0.6875,0.625,9.066301252336004,8.426126608566232
5,14,0.6428571428571429,0.35714285714285715,13.303048772338515,8.720395006848467
6,15,0.6,0.4666666666666667,8.175128370888627,10.786044499432053
7,15,0.4666666666666667,0.7333333333333333,11.650940498935112,13.528891499044725
8,13,0.6923076923076923,0.7692307692307693,14.796148329804758,9.823068805406683
9,14,0.42857142857142855,0.5714285714285714,10.292479779885785,9.378426948154052
10,14,0.7142857142857143,0.7142857142857143,11.27966377910945,13.206820075514461
11,15,0.4666666666666667,0.6666666666666666,8.969084472453366,9.846015833861774
12,14,0.5714285714285714,0.7857142857142857,6.141925929785906,9.414733618588242
13,16,0.4375,0.6875,9.878727269453137,9.423491657851898
14,14,0.5,0.5,14.181884031160356,10.457231986432957
15,16,0.625,0.75,10.52075843488496,14.875435908588877
16,16,0.375,0.5,12.132350614994444,10.715272056131603
