feature,corr
home_margin,0.8981885469771703
home_first_half,0.446901143640277
home_second_half,0.37820677461999436
home_q1,0.33881619201156
home_q4,0.32563090939060485
home_q2,0.3020018302021497
home_q3,0.20882928679348925
pace_secs_play_diff,0.14282711197627077
home_net_margin,0.13362582744684168
away_inj_wr1_out,0.12913049049109582
away_inj_wr_top2_out,0.12913049049109582
away_inj_starters_out,0.10544291228192773
elo_away_pre,0.10327873410381436
away_off_ppg,0.09705248164940417
off_epa_2h_a,0.09345698571563331
away_off_epa,0.0916522915798551
home_off_ppg,0.0824862604129566
net_margin_diff,0.07589292676920538
def_epa_2h_a,0.07430119881151896
away_def_ppg,0.06549258594774379
home_pace_secs_play,0.05307328418999777
away_rest_days,0.05026521125637642
off_epa_1h_a,0.04692213151561601
def_epa_2h_h,0.04688099019084039
home_rest_days,0.046822685164892346
away_inj_qb_out,0.0467343665929894
elo_home_pre,0.04291074744697892
rush_rate_diff,0.038381444557916054
off_epa_1h_h,0.021930666538196662
pass_rate_diff,0.020481350627141674
away_net_margin,0.02032226730175983
away_def_epa,0.019281691454531756
away_pass_rate,0.015437062847965331
home_rush_rate,0.005380717109128588
is_postseason,0.0037058991515497557
rest_days_diff,-0.004776131883967023
home_pass_rate,-0.0053807171091285666
away_sos,-0.014808166989145343
away_rush_rate,-0.01543706284796525
off_ppg_diff,-0.0164630276637393
def_epa_1h_a,-0.01756893636286133
home_off_epa,-0.03327722296668078
home_rating_games,-0.039809361179782204
total_points,-0.04010120124102724
elo_diff,-0.04606881695277578
away_rating_games,-0.05307418304878988
off_epa_2h_h,-0.07079245134073496
off_epa_diff,-0.08350605238743569
sos_diff,-0.08577708941213052
home_def_ppg,-0.10704129930311056
def_ppg_diff,-0.11351747304764725
home_sos,-0.13331743841706414
def_epa_diff,-0.1393752944278122
inj_qb_out_diff,-0.16429564339717354
home_inj_wr_top2_out,-0.17018333647319397
home_inj_qb_out,-0.17018333647319397
away_pace_secs_play,-0.1855324324918335
home_def_epa,-0.19594018101672228
home_inj_starters_out,-0.20074600924098776
inj_wr_top2_out_diff,-0.20734648805079137
home_inj_wr1_out,-0.21378141808760526
inj_starters_out_diff,-0.21473690431956324
inj_wr1_out_diff,-0.22810469283281867
away_q2,-0.30066616782776534
away_q4,-0.3029733473407577
def_epa_1h_h,-0.3209782841498617
away_q3,-0.37320159589238816
away_q1,-0.3912576538108291
away_first_half,-0.47210147762425225
away_second_half,-0.4798419286912478
off_sack_rate_diff,
def_sack_rate_diff,
off_rz_pass_rate_diff,
def_rz_pass_rate_diff,
def_wr_share_mult_diff,
def_te_share_mult_diff,
def_rb_share_mult_diff,
def_wr_ypt_mult_diff,
def_te_ypt_mult_diff,
def_rb_ypt_mult_diff,
qb_adj_diff,
home_inj_te1_out,
home_inj_rb1_out,
away_inj_te1_out,
away_inj_rb1_out,
inj_te1_out_diff,
inj_rb1_out_diff,
neutral_site_flag,
