feature,mi
home_def_ppg,3.805764391838772
elo_diff,3.801732536456408
sos_diff,3.8013792746181454
off_epa_diff,3.7998784181958323
net_margin_diff,3.799268340516897
away_net_margin,3.799117790585029
pace_secs_play_diff,3.7967965360637277
away_def_ppg,3.7954084087870066
elo_home_pre,3.7953165318791067
elo_away_pre,3.794797175606332
def_epa_diff,3.793931240082445
home_net_margin,3.7918083795751363
pass_rate_diff,3.7914047144596457
def_ppg_diff,3.790417148791197
away_off_ppg,3.7894503244545197
rush_rate_diff,3.7868958853175494
home_off_ppg,3.7866209545579093
off_ppg_diff,3.7854553379906184
away_sos,3.6344365831285046
away_pace_secs_play,3.626470393417775
off_epa_1h_a,3.62161974839367
def_epa_1h_a,3.617881646826543
away_off_epa,3.6166653796527837
home_pace_secs_play,3.605571767141658
off_epa_2h_a,3.603767039933309
def_epa_2h_a,3.5992808824193774
off_epa_2h_h,3.58725443709774
away_def_epa,3.5869498102339668
home_def_epa,3.5868915901207825
def_epa_2h_h,3.584758692098949
home_sos,3.5722422393445714
def_epa_1h_h,3.5693358998718567
home_off_epa,3.5670979908488083
off_epa_1h_h,3.5562004040270137
away_rush_rate,3.5294343077853934
away_pass_rate,3.5139446051191747
home_pass_rate,3.505963232977879
home_rush_rate,3.50110905727284
total_points,2.8321563644317003
home_margin,2.702441514442693
away_second_half,2.057545237505757
home_second_half,2.0417015694076373
away_first_half,1.8839924362347849
home_first_half,1.8103770070471645
home_q4,1.556666260533659
away_q4,1.5009710717058842
away_q2,1.4251483737005444
home_q2,1.3471309229786796
away_q3,1.2888087663926142
away_rating_games,1.2703075985314873
home_rating_games,1.2375598489924107
home_q1,1.032251202846152
away_q1,1.0141776790254573
rest_days_diff,0.9362206190124822
home_q3,0.9303087413236204
home_rest_days,0.9072379659768295
away_rest_days,0.9013910410654602
inj_starters_out_diff,0.22547308292844326
inj_wr_top2_out_diff,0.18909928548488608
inj_wr1_out_diff,0.18897075324749757
inj_qb_out_diff,0.1462180758534739
home_inj_starters_out,0.11231823523732887
away_inj_wr1_out,0.11156398733378259
home_inj_wr1_out,0.10738574598313866
away_inj_starters_out,0.10546841101422055
home_inj_qb_out,0.10103687122900684
home_inj_wr_top2_out,0.08798767229027549
away_inj_wr_top2_out,0.07865094022341745
away_inj_qb_out,0.06256039521547363
neutral_site_flag,0.022126798120178925
inj_te1_out_diff,0.01215991771592062
def_te_share_mult_diff,0.0093784435522406
off_rz_pass_rate_diff,0.009361738136628883
inj_rb1_out_diff,0.009103453607560485
home_inj_rb1_out,0.008722550301260235
qb_adj_diff,0.005238840405966894
def_wr_share_mult_diff,0.0025628588384649653
is_postseason,0.0
def_te_ypt_mult_diff,0.0
def_wr_ypt_mult_diff,0.0
def_rb_ypt_mult_diff,0.0
def_rz_pass_rate_diff,0.0
away_inj_rb1_out,0.0
def_sack_rate_diff,0.0
off_sack_rate_diff,0.0
away_inj_te1_out,0.0
home_inj_te1_out,0.0
def_rb_share_mult_diff,0.0
