bin_low,bin_high,count,pred_mean,obs_rate
0.319,0.449,7,0.4088788221274929,0.2857142857142857
0.449,0.472,7,0.4643971573079887,0.2857142857142857
0.472,0.501,6,0.48153273001733127,0.3333333333333333
0.501,0.519,7,0.5127282139748054,0.5714285714285714
0.519,0.539,7,0.5292327452681833,0.42857142857142855
0.539,0.556,6,0.5472783034095904,0.5
0.556,0.588,7,0.5746121760805989,0.8571428571428571
0.588,0.608,6,0.5931920718926705,0.3333333333333333
0.608,0.629,7,0.6214429067611243,0.2857142857142857
0.629,0.695,7,0.655536420864716,0.8571428571428571
