bin_low,bin_high,count,pred_mean,obs_rate
0.0744,0.279,28,0.2020339496789505,0.35714285714285715
0.279,0.365,27,0.32488648224947203,0.18518518518518517
0.365,0.425,27,0.388377079227567,0.2962962962962963
0.425,0.513,27,0.4696505511993305,0.5555555555555556
0.513,0.582,27,0.5453369180528376,0.48148148148148145
0.582,0.648,27,0.6144057231868187,0.5185185185185185
0.648,0.721,27,0.6804116722974349,0.6296296296296297
0.721,0.783,27,0.7519272062708737,0.6296296296296297
0.783,0.854,27,0.8161309577856706,0.7777777777777778
0.854,0.958,28,0.9025237295569503,0.8928571428571429
