stat,n_players,coverage_min_max,baseline_scenario_id,baseline_mae
interceptions,262,0.916030534351145,v2_baseline,0.07105263157894737
pass_attempts,262,0.9007633587786259,v2_baseline,0.8459398496240601
pass_tds,262,0.9122137404580153,v2_baseline,0.11402255639097744
pass_yards,262,0.9007633587786259,v2_baseline,6.565413533834587
rec_tds,262,0.3244274809160305,v2_baseline,0.27518796992481204
rec_yards,262,0.1984732824427481,v2_baseline,18.070676691729325
receptions,262,0.24045801526717558,v2_baseline,1.352406015037594
rush_attempts,262,0.5725190839694656,v2_baseline,1.7326691729323307
rush_tds,262,0.7099236641221374,v2_baseline,0.12015037593984963
rush_yards,262,0.6068702290076335,v2_baseline,8.034962406015039
targets,262,0.16793893129770993,v2_baseline,1.9091353383458647
